Mapping Strategy	Genus	Reference	Sample	SNP Calls (all)	SNP Calls (het)	Percentage Polymorphic over All
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	TAF008	497	64	12.88
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	TAF008	54623	10067	18.43
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	TAF008	1012	305	30.14
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	TAF008	6457	116	1.80
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	TAF008	9955	276	2.77
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	TAF008	16279	2485	15.27
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	TAF008	4906	229	4.67
superreference_mapping	Actinomyces	Actinomyces	VLC004	50835	42522	83.65
superreference_mapping	Campylobacter	Campylobacter	VLC004	41640	18002	43.23
superreference_mapping	Capnocytophaga	Capnocytophaga	VLC004	10482	1143	10.90
superreference_mapping	Corynebacterium	Corynebacterium	VLC004	27898	10413	37.33
superreference_mapping	Fretibacterium	Fretibacterium	VLC004	1014	13	1.28
superreference_mapping	Fusobacterium	Fusobacterium	VLC004	1411	184	13.04
superreference_mapping	Olsenella	Olsenella	VLC004	67570	44219	65.44
superreference_mapping	Ottowia	Ottowia	VLC004	13595	2650	19.49
superreference_mapping	Porphyromonas	Porphyromonas	VLC004	5232	210	4.01
superreference_mapping	Prevotella	Prevotella	VLC004	13080	362	2.77
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	VLC004	58201	45272	77.79
superreference_mapping	Selenomonas	Selenomonas	VLC004	202	15	7.43
superreference_mapping	Streptococcus	Streptococcus	VLC004	37980	24931	65.64
superreference_mapping	Tannerella	Tannerella	VLC004	10043	868	8.64
superreference_mapping	Treponema	Treponema	VLC004	33869	6332	18.70
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	VLC004	76984	67944	88.26
initial_single_genome	Campylobacter	Campylobacter_gracilis	VLC004	42105	18216	43.26
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	VLC004	32752	4432	13.53
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	VLC004	53439	24157	45.20
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	VLC004	1014	13	1.28
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	VLC004	15566	4898	31.47
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	VLC004	67727	44333	65.46
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	VLC004	33659	8890	26.41
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	VLC004	6465	419	6.48
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	VLC004	38898	2250	5.78
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	VLC004	58266	45343	77.82
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	VLC004	1610	272	16.89
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	VLC004	18877	8542	45.25
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	VLC004	71833	53001	73.78
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	VLC004	10147	937	9.23
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	VLC004	34412	6500	18.89
superreference_mapping	Actinomyces	Actinomyces	VLC009	57325	44537	77.69
superreference_mapping	Campylobacter	Campylobacter	VLC009	13462	2057	15.28
superreference_mapping	Capnocytophaga	Capnocytophaga	VLC009	12085	3120	25.82
superreference_mapping	Corynebacterium	Corynebacterium	VLC009	32346	10204	31.55
superreference_mapping	Fretibacterium	Fretibacterium	VLC009	11415	2704	23.69
superreference_mapping	Fusobacterium	Fusobacterium	VLC009	5226	282	5.40
superreference_mapping	Olsenella	Olsenella	VLC009	49359	22823	46.24
superreference_mapping	Ottowia	Ottowia	VLC009	11973	215	1.80
superreference_mapping	Porphyromonas	Porphyromonas	VLC009	752	184	24.47
superreference_mapping	Prevotella	Prevotella	VLC009	23152	7937	34.28
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	VLC009	65042	25231	38.79
superreference_mapping	Selenomonas	Selenomonas	VLC009	6354	157	2.47
superreference_mapping	Streptococcus	Streptococcus	VLC009	34015	13262	38.99
superreference_mapping	Tannerella	Tannerella	VLC009	16524	584	3.53
superreference_mapping	Treponema	Treponema	VLC009	2014	68	3.38
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	VLC009	68276	54956	80.49
initial_single_genome	Campylobacter	Campylobacter_gracilis	VLC009	13775	2145	15.57
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	VLC009	31077	12243	39.40
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	VLC009	51646	16413	31.78
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	VLC009	11415	2704	23.69
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	VLC009	12341	3784	30.66
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	VLC009	49585	22995	46.37
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	VLC009	29924	701	2.34
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	VLC009	1015	284	27.98
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	VLC009	56853	25669	45.15
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	VLC009	65050	25240	38.80
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	VLC009	7806	881	11.29
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	VLC009	21091	6610	31.34
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	VLC009	58931	27441	46.56
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	VLC009	16620	600	3.61
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	VLC009	2110	79	3.74
superreference_mapping	Actinomyces	Actinomyces	LIB007.A0115	0	0	NaN
superreference_mapping	Campylobacter	Campylobacter	LIB007.A0115	0	0	NaN
superreference_mapping	Capnocytophaga	Capnocytophaga	LIB007.A0115	0	0	NaN
superreference_mapping	Corynebacterium	Corynebacterium	LIB007.A0115	0	0	NaN
superreference_mapping	Fusobacterium	Fusobacterium	LIB007.A0115	0	0	NaN
superreference_mapping	Olsenella	Olsenella	LIB007.A0115	0	0	NaN
superreference_mapping	Ottowia	Ottowia	LIB007.A0115	0	0	NaN
superreference_mapping	Porphyromonas	Porphyromonas	LIB007.A0115	0	0	NaN
superreference_mapping	Prevotella	Prevotella	LIB007.A0115	0	0	NaN
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	LIB007.A0115	0	0	NaN
superreference_mapping	Selenomonas	Selenomonas	LIB007.A0115	0	0	NaN
superreference_mapping	Streptococcus	Streptococcus	LIB007.A0115	0	0	NaN
superreference_mapping	Tannerella	Tannerella	LIB007.A0115	0	0	NaN
superreference_mapping	Treponema	Treponema	LIB007.A0115	0	0	NaN
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	LIB007.A0115	0	0	NaN
initial_single_genome	Campylobacter	Campylobacter_gracilis	LIB007.A0115	0	0	NaN
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	LIB007.A0115	0	0	NaN
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	LIB007.A0115	0	0	NaN
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	LIB007.A0115	0	0	NaN
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	LIB007.A0115	0	0	NaN
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	LIB007.A0115	0	0	NaN
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	LIB007.A0115	0	0	NaN
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	LIB007.A0115	0	0	NaN
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	LIB007.A0115	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	LIB007.A0115	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	LIB007.A0115	0	0	NaN
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	LIB007.A0115	0	0	NaN
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	LIB007.A0115	0	0	NaN
superreference_mapping	Actinomyces	Actinomyces	LIB007.A0116	0	0	NaN
superreference_mapping	Campylobacter	Campylobacter	LIB007.A0116	0	0	NaN
superreference_mapping	Capnocytophaga	Capnocytophaga	LIB007.A0116	1	0	0.00
superreference_mapping	Corynebacterium	Corynebacterium	LIB007.A0116	0	0	NaN
superreference_mapping	Olsenella	Olsenella	LIB007.A0116	0	0	NaN
superreference_mapping	Ottowia	Ottowia	LIB007.A0116	0	0	NaN
superreference_mapping	Porphyromonas	Porphyromonas	LIB007.A0116	0	0	NaN
superreference_mapping	Prevotella	Prevotella	LIB007.A0116	0	0	NaN
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	LIB007.A0116	0	0	NaN
superreference_mapping	Selenomonas	Selenomonas	LIB007.A0116	0	0	NaN
superreference_mapping	Streptococcus	Streptococcus	LIB007.A0116	0	0	NaN
superreference_mapping	Tannerella	Tannerella	LIB007.A0116	0	0	NaN
superreference_mapping	Treponema	Treponema	LIB007.A0116	0	0	NaN
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	LIB007.A0116	1	0	0.00
initial_single_genome	Campylobacter	Campylobacter_gracilis	LIB007.A0116	0	0	NaN
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	LIB007.A0116	1	0	0.00
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	LIB007.A0116	0	0	NaN
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	LIB007.A0116	0	0	NaN
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	LIB007.A0116	0	0	NaN
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	LIB007.A0116	0	0	NaN
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	LIB007.A0116	2	0	0.00
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	LIB007.A0116	0	0	NaN
superreference_mapping	Actinomyces	Actinomyces	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Campylobacter	Campylobacter	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Capnocytophaga	Capnocytophaga	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Corynebacterium	Corynebacterium	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Fusobacterium	Fusobacterium	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Olsenella	Olsenella	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Ottowia	Ottowia	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Porphyromonas	Porphyromonas	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Prevotella	Prevotella	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Selenomonas	Selenomonas	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Streptococcus	Streptococcus	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Tannerella	Tannerella	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Treponema	Treponema	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Campylobacter	Campylobacter_gracilis	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	LIB007.A0135.SG1.1	0	0	NaN
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	LIB007.A0135.SG1.1	0	0	NaN
superreference_mapping	Actinomyces	Actinomyces	LIB025.A0301	2	0	0.00
superreference_mapping	Campylobacter	Campylobacter	LIB025.A0301	0	0	NaN
superreference_mapping	Capnocytophaga	Capnocytophaga	LIB025.A0301	0	0	NaN
superreference_mapping	Corynebacterium	Corynebacterium	LIB025.A0301	0	0	NaN
superreference_mapping	Fretibacterium	Fretibacterium	LIB025.A0301	0	0	NaN
superreference_mapping	Fusobacterium	Fusobacterium	LIB025.A0301	0	0	NaN
superreference_mapping	Olsenella	Olsenella	LIB025.A0301	2	0	0.00
superreference_mapping	Ottowia	Ottowia	LIB025.A0301	0	0	NaN
superreference_mapping	Porphyromonas	Porphyromonas	LIB025.A0301	0	0	NaN
superreference_mapping	Prevotella	Prevotella	LIB025.A0301	0	0	NaN
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	LIB025.A0301	0	0	NaN
superreference_mapping	Selenomonas	Selenomonas	LIB025.A0301	0	0	NaN
superreference_mapping	Streptococcus	Streptococcus	LIB025.A0301	0	0	NaN
superreference_mapping	Tannerella	Tannerella	LIB025.A0301	2	0	0.00
superreference_mapping	Treponema	Treponema	LIB025.A0301	0	0	NaN
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	LIB025.A0301	5	0	0.00
initial_single_genome	Campylobacter	Campylobacter_gracilis	LIB025.A0301	0	0	NaN
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	LIB025.A0301	0	0	NaN
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	LIB025.A0301	4	1	25.00
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	LIB025.A0301	0	0	NaN
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	LIB025.A0301	0	0	NaN
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	LIB025.A0301	2	0	0.00
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	LIB025.A0301	0	0	NaN
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	LIB025.A0301	0	0	NaN
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	LIB025.A0301	0	0	NaN
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	LIB025.A0301	0	0	NaN
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	LIB025.A0301	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	LIB025.A0301	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	LIB025.A0301	0	0	NaN
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	LIB025.A0301	2	0	0.00
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	LIB025.A0301	0	0	NaN
superreference_mapping	Actinomyces	Actinomyces	LIB025.A1001	0	0	NaN
superreference_mapping	Campylobacter	Campylobacter	LIB025.A1001	0	0	NaN
superreference_mapping	Capnocytophaga	Capnocytophaga	LIB025.A1001	2	0	0.00
superreference_mapping	Corynebacterium	Corynebacterium	LIB025.A1001	1	0	0.00
superreference_mapping	Fretibacterium	Fretibacterium	LIB025.A1001	0	0	NaN
superreference_mapping	Fusobacterium	Fusobacterium	LIB025.A1001	0	0	NaN
superreference_mapping	Olsenella	Olsenella	LIB025.A1001	0	0	NaN
superreference_mapping	Ottowia	Ottowia	LIB025.A1001	0	0	NaN
superreference_mapping	Porphyromonas	Porphyromonas	LIB025.A1001	0	0	NaN
superreference_mapping	Prevotella	Prevotella	LIB025.A1001	0	0	NaN
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	LIB025.A1001	0	0	NaN
superreference_mapping	Selenomonas	Selenomonas	LIB025.A1001	0	0	NaN
superreference_mapping	Streptococcus	Streptococcus	LIB025.A1001	3	0	0.00
superreference_mapping	Tannerella	Tannerella	LIB025.A1001	0	0	NaN
superreference_mapping	Treponema	Treponema	LIB025.A1001	0	0	NaN
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	LIB025.A1001	6	0	0.00
initial_single_genome	Campylobacter	Campylobacter_gracilis	LIB025.A1001	0	0	NaN
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	LIB025.A1001	2	0	0.00
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	LIB025.A1001	3	0	0.00
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	LIB025.A1001	0	0	NaN
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	LIB025.A1001	0	0	NaN
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	LIB025.A1001	0	0	NaN
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	LIB025.A1001	0	0	NaN
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	LIB025.A1001	0	0	NaN
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	LIB025.A1001	1	0	0.00
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	LIB025.A1001	0	0	NaN
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	LIB025.A1001	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	LIB025.A1001	2	0	0.00
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	LIB025.A1001	3	0	0.00
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	LIB025.A1001	0	0	NaN
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	LIB025.A1001	0	0	NaN
superreference_mapping	Actinomyces	Actinomyces	LIB025.A1301	0	0	NaN
superreference_mapping	Campylobacter	Campylobacter	LIB025.A1301	0	0	NaN
superreference_mapping	Capnocytophaga	Capnocytophaga	LIB025.A1301	1	0	0.00
superreference_mapping	Corynebacterium	Corynebacterium	LIB025.A1301	0	0	NaN
superreference_mapping	Fretibacterium	Fretibacterium	LIB025.A1301	0	0	NaN
superreference_mapping	Fusobacterium	Fusobacterium	LIB025.A1301	0	0	NaN
superreference_mapping	Olsenella	Olsenella	LIB025.A1301	0	0	NaN
superreference_mapping	Ottowia	Ottowia	LIB025.A1301	0	0	NaN
superreference_mapping	Porphyromonas	Porphyromonas	LIB025.A1301	0	0	NaN
superreference_mapping	Prevotella	Prevotella	LIB025.A1301	0	0	NaN
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	LIB025.A1301	0	0	NaN
superreference_mapping	Selenomonas	Selenomonas	LIB025.A1301	0	0	NaN
superreference_mapping	Streptococcus	Streptococcus	LIB025.A1301	0	0	NaN
superreference_mapping	Tannerella	Tannerella	LIB025.A1301	0	0	NaN
superreference_mapping	Treponema	Treponema	LIB025.A1301	0	0	NaN
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	LIB025.A1301	0	0	NaN
initial_single_genome	Campylobacter	Campylobacter_gracilis	LIB025.A1301	2	0	0.00
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	LIB025.A1301	1	0	0.00
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	LIB025.A1301	0	0	NaN
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	LIB025.A1301	0	0	NaN
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	LIB025.A1301	2	0	0.00
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	LIB025.A1301	0	0	NaN
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	LIB025.A1301	0	0	NaN
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	LIB025.A1301	0	0	NaN
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	LIB025.A1301	0	0	NaN
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	LIB025.A1301	0	0	NaN
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	LIB025.A1301	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	LIB025.A1301	0	0	NaN
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	LIB025.A1301	0	0	NaN
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	LIB025.A1301	0	0	NaN
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	LIB025.A1301	0	0	NaN
