Software	Database	Tax_Level	Threshold	Host_Genus	Taxon	Populations_Taxa_Present_In	Populations_in_Study	Proportion_Taxa_Present_In
MALT	nt	genus	0.05	Pan	Filifactor	3	3	100
MALT	nt	species	0.05	Pan	Filifactor alocis	3	3	100
MALT	nt	genus	0.05	Pan	Fretibacterium	3	3	100
MALT	nt	genus	0.05	Homo	Fretibacterium	5	6	83.3
MetaPhlAn2	mp2	genus	0.05	Pan	Fretibacterium	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Fretibacterium	5	6	83.3
MALT	nt	species	0.05	Pan	Fretibacterium fastidiosum	3	3	100
MALT	nt	species	0.05	Homo	Fretibacterium fastidiosum	5	6	83.3
MetaPhlAn2	mp2	species	0.05	Pan	Fretibacterium_fastidiosum	3	3	100
MetaPhlAn2	mp2	species	0.05	Homo	Fretibacterium_fastidiosum	5	6	83.3
MALT	nt	genus	0.05	Alouatta	Fusobacterium	1	1	100
MALT	nt	genus	0.05	Gorilla	Fusobacterium	3	3	100
MALT	nt	genus	0.05	Pan	Fusobacterium	3	3	100
MALT	nt	genus	0.05	Homo	Fusobacterium	5	6	83.3
MetaPhlAn2	mp2	genus	0.05	Alouatta	Fusobacterium	1	1	100
MetaPhlAn2	mp2	genus	0.05	Gorilla	Fusobacterium	2	3	66.7
MetaPhlAn2	mp2	genus	0.05	Pan	Fusobacterium	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Fusobacterium	4	6	66.7
MALT	nt	species	0.05	Alouatta	Fusobacterium hwasookii	1	1	100
MALT	nt	species	0.05	Pan	Fusobacterium hwasookii	2	3	66.7
MALT	nt	species	0.05	Alouatta	Fusobacterium nucleatum	1	1	100
MALT	nt	species	0.05	Gorilla	Fusobacterium nucleatum	3	3	100
MALT	nt	species	0.05	Pan	Fusobacterium nucleatum	3	3	100
MALT	nt	species	0.05	Homo	Fusobacterium nucleatum	4	6	66.7
MALT	nt	species	0.05	Pan	Fusobacterium sp. oral taxon 203	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Alouatta	Fusobacterium_nucleatum	1	1	100
MetaPhlAn2	mp2	species	0.05	Gorilla	Fusobacterium_nucleatum	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Pan	Fusobacterium_nucleatum	3	3	100
MetaPhlAn2	mp2	species	0.05	Homo	Fusobacterium_nucleatum	4	6	66.7
MALT	nt	genus	0.05	Alouatta	Gemella	1	1	100
MALT	nt	genus	0.05	Pan	Gemella	3	3	100
MetaPhlAn2	mp2	genus	0.05	Alouatta	Gemella	1	1	100
MALT	nt	species	0.05	Pan	Gemella sp. oral taxon 928	3	3	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Gemella_unclassified	1	1	100
MALT	nt	genus	0.05	Pan	Gordonibacter	3	3	100
MALT	nt	species	0.05	Pan	Gordonibacter massiliensis	3	3	100
MALT	nt	species	0.05	Pan	Gordonibacter pamelaeae	2	3	66.7
MALT	nt	species	0.05	Pan	Gordonibacter urolithinfaciens	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Haemophilus	1	1	100
MALT	nt	genus	0.05	Gorilla	Haemophilus	2	3	66.7
MALT	nt	species	0.05	Alouatta	Haemophilus influenzae	1	1	100
MALT	nt	species	0.05	Gorilla	Haemophilus influenzae	2	3	66.7
MALT	nt	species	0.05	Alouatta	Haemophilus parainfluenzae	1	1	100
MALT	nt	species	0.05	Alouatta	Haemophilus pittmaniae	1	1	100
MALT	nt	genus	0.05	Alouatta	Kingella	1	1	100
MetaPhlAn2	mp2	genus	0.05	Alouatta	Kingella	1	1	100
MetaPhlAn2	mp2	genus	0.05	Gorilla	Kingella	2	3	66.7
MALT	nt	species	0.05	Alouatta	Kingella kingae	1	1	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Kingella_oralis	1	1	100
MetaPhlAn2	mp2	species	0.05	Gorilla	Kingella_unclassified	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Kocuria	1	1	100
MALT	nt	genus	0.05	Pan	Lachnoclostridium	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Lactobacillus	1	1	100
MetaPhlAn2	mp2	genus	0.05	Homo	Lautropia	6	6	100
MetaPhlAn2	mp2	species	0.05	Homo	Lautropia_mirabilis	6	6	100
MALT	nt	genus	0.05	Pan	Lawsonella	3	3	100
MALT	nt	species	0.05	Pan	Lawsonella clevelandensis	3	3	100
MALT	nt	genus	0.05	Alouatta	Leptotrichia	1	1	100
MALT	nt	genus	0.05	Homo	Leptotrichia	6	6	100
MetaPhlAn2	mp2	genus	0.05	Alouatta	Leptotrichia	1	1	100
MetaPhlAn2	mp2	genus	0.05	Homo	Leptotrichia	4	6	66.7
MALT	nt	species	0.05	Alouatta	Leptotrichia sp. oral taxon 212	1	1	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Leptotrichia_goodfellowii	1	1	100
MetaPhlAn2	mp2	genus	0.05	Homo	Leptotrichiaceae_unclassified	4	6	66.7
MALT	nt	genus	0.05	Pan	Libanicoccus	2	3	66.7
MALT	nt	species	0.05	Pan	Libanicoccus massiliensis	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Mannheimia	1	1	100
MALT	nt	genus	0.05	Gorilla	Mannheimia	2	3	66.7
MALT	nt	species	0.05	Alouatta	Mannheimia haemolytica	1	1	100
MetaPhlAn2	mp2	genus	0.05	Pan	Megasphaera	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Pan	Megasphaera_unclassified	2	3	66.7
MALT	nt	species	0.05	Pan	methanogenic archaeon ISO4-H5	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Microbacterium	1	1	100
MALT	nt	genus	0.05	Gorilla	Microbacterium	3	3	100
MALT	nt	genus	0.05	Pan	Microbacterium	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Micromonospora	1	1	100
MALT	nt	genus	0.05	Pan	Mogibacterium	3	3	100
MALT	nt	species	0.05	Pan	Mogibacterium pumilum	3	3	100
MALT	nt	genus	0.05	Alouatta	Mycobacterium	1	1	100
MALT	nt	genus	0.05	Gorilla	Mycobacterium	3	3	100
MALT	nt	genus	0.05	Pan	Mycobacterium	3	3	100
MALT	nt	genus	0.05	Homo	Mycobacterium	4	6	66.7
MALT	nt	genus	0.05	Alouatta	Neisseria	1	1	100
MALT	nt	genus	0.05	Gorilla	Neisseria	2	3	66.7
MALT	nt	genus	0.05	Homo	Neisseria	6	6	100
MetaPhlAn2	mp2	genus	0.05	Alouatta	Neisseria	1	1	100
MetaPhlAn2	mp2	genus	0.05	Gorilla	Neisseria	2	3	66.7
MetaPhlAn2	mp2	genus	0.05	Homo	Neisseria	6	6	100
MALT	nt	species	0.05	Alouatta	Neisseria elongata	1	1	100
MALT	nt	species	0.05	Gorilla	Neisseria elongata	2	3	66.7
MALT	nt	species	0.05	Homo	Neisseria elongata	4	6	66.7
MALT	nt	species	0.05	Alouatta	Neisseria gonorrhoeae	1	1	100
MALT	nt	species	0.05	Gorilla	Neisseria gonorrhoeae	2	3	66.7
MALT	nt	species	0.05	Alouatta	Neisseria lactamica	1	1	100
MALT	nt	species	0.05	Gorilla	Neisseria lactamica	2	3	66.7
MALT	nt	species	0.05	Alouatta	Neisseria meningitidis	1	1	100
MALT	nt	species	0.05	Gorilla	Neisseria meningitidis	2	3	66.7
MALT	nt	species	0.05	Alouatta	Neisseria sicca	1	1	100
MALT	nt	species	0.05	Gorilla	Neisseria sicca	2	3	66.7
MALT	nt	species	0.05	Homo	Neisseria sicca	4	6	66.7
MALT	nt	species	0.05	Alouatta	Neisseria sp. 10022	1	1	100
MALT	nt	species	0.05	Alouatta	Neisseria sp. 10023	1	1	100
MALT	nt	species	0.05	Gorilla	Neisseria sp. 10023	2	3	66.7
MALT	nt	species	0.05	Alouatta	Neisseria sp. KEM232	1	1	100
MALT	nt	species	0.05	Gorilla	Neisseria sp. KEM232	2	3	66.7
MALT	nt	species	0.05	Alouatta	Neisseria zoodegmatis	1	1	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Neisseria_bacilliformis	1	1	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Neisseria_unclassified	1	1	100
MetaPhlAn2	mp2	species	0.05	Gorilla	Neisseria_unclassified	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Homo	Neisseria_unclassified	4	6	66.7
MALT	nt	genus	0.05	Alouatta	Nocardioides	1	1	100
MALT	nt	genus	0.05	Gorilla	Olsenella	2	3	66.7
MALT	nt	genus	0.05	Pan	Olsenella	3	3	100
MALT	nt	genus	0.05	Homo	Olsenella	6	6	100
MetaPhlAn2	mp2	genus	0.05	Gorilla	Olsenella	2	3	66.7
MetaPhlAn2	mp2	genus	0.05	Pan	Olsenella	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Olsenella	5	6	83.3
MALT	nt	species	0.05	Pan	Olsenella sp. Marseille-P2300	3	3	100
MALT	nt	species	0.05	Pan	Olsenella sp. oral taxon 807	3	3	100
MALT	nt	species	0.05	Homo	Olsenella sp. oral taxon 807	6	6	100
MALT	nt	species	0.05	Pan	Olsenella uli	3	3	100
MALT	nt	species	0.05	Pan	Olsenella umbonata	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Pan	Olsenella_uli	3	3	100
MALT	nt	genus	0.05	Alouatta	Ottowia	1	1	100
MALT	nt	genus	0.05	Pan	Ottowia	2	3	66.7
MALT	nt	genus	0.05	Homo	Ottowia	6	6	100
MALT	nt	species	0.05	Alouatta	Ottowia sp. oral taxon 894	1	1	100
MALT	nt	species	0.05	Pan	Ottowia sp. oral taxon 894	2	3	66.7
MALT	nt	species	0.05	Homo	Ottowia sp. oral taxon 894	6	6	100
MALT	nt	genus	0.05	Pan	Paenibacillus	2	3	66.7
MALT	nt	genus	0.05	Pan	Parvimonas	3	3	100
MetaPhlAn2	mp2	genus	0.05	Pan	Parvimonas	3	3	100
MALT	nt	species	0.05	Pan	Parvimonas micra	3	3	100
MetaPhlAn2	mp2	species	0.05	Pan	Parvimonas_micra	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Pan	Parvimonas_unclassified	3	3	100
MALT	nt	genus	0.05	Alouatta	Pasteurella	1	1	100
MALT	nt	genus	0.05	Gorilla	Pasteurella	2	3	66.7
MALT	nt	species	0.05	Alouatta	Pasteurella multocida	1	1	100
MALT	nt	species	0.05	Gorilla	Pasteurella multocida	2	3	66.7
MALT	nt	species	0.05	Alouatta	Pasteurellaceae bacterium NI1060	1	1	100
MALT	nt	species	0.05	Gorilla	Pasteurellaceae bacterium NI1060	2	3	66.7
MetaPhlAn2	mp2	genus	0.05	Homo	Peptostreptococcaceae_noname	5	6	83.3
MALT	nt	genus	0.05	Pan	Porphyromonas	3	3	100
MetaPhlAn2	mp2	genus	0.05	Pan	Porphyromonas	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Porphyromonas	5	6	83.3
MALT	nt	species	0.05	Pan	Porphyromonas gingivalis	3	3	100
MetaPhlAn2	mp2	species	0.05	Pan	Porphyromonas_gingivalis	3	3	100
MALT	nt	genus	0.05	Gorilla	Prevotella	2	3	66.7
MALT	nt	genus	0.05	Pan	Prevotella	3	3	100
MALT	nt	genus	0.05	Homo	Prevotella	4	6	66.7
MetaPhlAn2	mp2	genus	0.05	Homo	Prevotella	5	6	83.3
MALT	nt	species	0.05	Pan	Prevotella dentalis	3	3	100
MALT	nt	species	0.05	Pan	Prevotella denticola	2	3	66.7
MALT	nt	species	0.05	Pan	Prevotella enoeca	2	3	66.7
MALT	nt	species	0.05	Pan	Prevotella intermedia	3	3	100
MALT	nt	genus	0.05	Alouatta	Propionibacterium	1	1	100
MALT	nt	genus	0.05	Gorilla	Propionibacterium	2	3	66.7
MALT	nt	genus	0.05	Pan	Propionibacterium	3	3	100
MetaPhlAn2	mp2	genus	0.05	Alouatta	Propionibacterium	1	1	100
MetaPhlAn2	mp2	genus	0.05	Gorilla	Propionibacterium	3	3	100
MetaPhlAn2	mp2	genus	0.05	Pan	Propionibacterium	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Propionibacterium	6	6	100
MALT	nt	species	0.05	Alouatta	Propionibacterium freudenreichii	1	1	100
MALT	nt	species	0.05	Pan	Propionibacterium freudenreichii	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Alouatta	Propionibacterium_propionicum	1	1	100
MetaPhlAn2	mp2	species	0.05	Gorilla	Propionibacterium_propionicum	3	3	100
MetaPhlAn2	mp2	species	0.05	Pan	Propionibacterium_propionicum	3	3	100
MetaPhlAn2	mp2	species	0.05	Homo	Propionibacterium_propionicum	6	6	100
MALT	nt	genus	0.05	Alouatta	Pseudomonas	1	1	100
MALT	nt	genus	0.05	Gorilla	Pseudomonas	3	3	100
MALT	nt	genus	0.05	Pan	Pseudomonas	3	3	100
MALT	nt	genus	0.05	Homo	Pseudomonas	6	6	100
MALT	nt	genus	0.05	Control	Pseudomonas	2	2	100
MALT	nt	genus	0.05	Alouatta	Pseudopropionibacterium	1	1	100
MALT	nt	genus	0.05	Gorilla	Pseudopropionibacterium	3	3	100
MALT	nt	genus	0.05	Pan	Pseudopropionibacterium	3	3	100
MALT	nt	genus	0.05	Homo	Pseudopropionibacterium	6	6	100
MALT	nt	species	0.05	Alouatta	Pseudopropionibacterium propionicum	1	1	100
MALT	nt	species	0.05	Gorilla	Pseudopropionibacterium propionicum	3	3	100
MALT	nt	species	0.05	Pan	Pseudopropionibacterium propionicum	3	3	100
MALT	nt	species	0.05	Homo	Pseudopropionibacterium propionicum	6	6	100
MetaPhlAn2	mp2	genus	0.05	Pan	Pseudoramibacter	3	3	100
MetaPhlAn2	mp2	species	0.05	Pan	Pseudoramibacter_alactolyticus	3	3	100
MetaPhlAn2	mp2	genus	0.05	Pan	Pyramidobacter	3	3	100
MetaPhlAn2	mp2	species	0.05	Pan	Pyramidobacter_piscolens	3	3	100
MALT	nt	genus	0.05	Alouatta	Rhodococcus	1	1	100
MALT	nt	genus	0.05	Gorilla	Rhodococcus	2	3	66.7
MALT	nt	genus	0.05	Pan	Rhodococcus	2	3	66.7
MetaPhlAn2	mp2	genus	0.05	Alouatta	Riemerella	1	1	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Riemerella_unclassified	1	1	100
MALT	nt	genus	0.05	Alouatta	Rothia	1	1	100
MALT	nt	genus	0.05	Gorilla	Rothia	2	3	66.7
MetaPhlAn2	mp2	genus	0.05	Alouatta	Rothia	1	1	100
MetaPhlAn2	mp2	genus	0.05	Gorilla	Rothia	2	3	66.7
MALT	nt	species	0.05	Alouatta	Rothia aeria	1	1	100
MALT	nt	species	0.05	Gorilla	Rothia aeria	2	3	66.7
MALT	nt	species	0.05	Alouatta	Rothia dentocariosa	1	1	100
MALT	nt	species	0.05	Gorilla	Rothia dentocariosa	2	3	66.7
MALT	nt	species	0.05	Alouatta	Rothia mucilaginosa	1	1	100
MALT	nt	species	0.05	Gorilla	Rothia mucilaginosa	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Gorilla	Rothia_dentocariosa	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Alouatta	Rothia_unclassified	1	1	100
MetaPhlAn2	mp2	species	0.05	Gorilla	Rothia_unclassified	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Saccharopolyspora	1	1	100
MALT	nt	species	0.05	Alouatta	Saccharopolyspora erythraea	1	1	100
MALT	nt	genus	0.05	Gorilla	Selenomonas	3	3	100
MALT	nt	genus	0.05	Pan	Selenomonas	3	3	100
MALT	nt	genus	0.05	Homo	Selenomonas	6	6	100
MALT	nt	genus	0.05	Alouatta	Serratia	1	1	100
MALT	nt	genus	0.05	Pan	Slackia	3	3	100
MetaPhlAn2	mp2	genus	0.05	Pan	Slackia	3	3	100
MALT	nt	species	0.05	Pan	Slackia heliotrinireducens	3	3	100
MetaPhlAn2	mp2	species	0.05	Pan	Slackia_exigua	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Pan	Slackia_unclassified	3	3	100
MALT	nt	genus	0.05	Alouatta	Sphingobacterium	1	1	100
MetaPhlAn2	mp2	genus	0.05	Alouatta	Sphingobacterium	1	1	100
MALT	nt	species	0.05	Alouatta	Sphingobacterium mizutaii	1	1	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Sphingobacterium_unclassified	1	1	100
MALT	nt	species	0.05	Gorilla	Staphylococcus xylosus	2	3	66.7
MALT	nt	genus	0.05	Alouatta	Streptococcus	1	1	100
MALT	nt	genus	0.05	Gorilla	Streptococcus	3	3	100
MALT	nt	genus	0.05	Pan	Streptococcus	3	3	100
MALT	nt	genus	0.05	Homo	Streptococcus	6	6	100
MetaPhlAn2	mp2	genus	0.05	Alouatta	Streptococcus	1	1	100
MetaPhlAn2	mp2	genus	0.05	Gorilla	Streptococcus	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Streptococcus	6	6	100
MALT	nt	species	0.05	Alouatta	Streptococcus acidominimus	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus agalactiae	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus anginosus	1	1	100
MALT	nt	species	0.05	Gorilla	Streptococcus anginosus	2	3	66.7
MALT	nt	species	0.05	Pan	Streptococcus anginosus	3	3	100
MALT	nt	species	0.05	Homo	Streptococcus anginosus	4	6	66.7
MALT	nt	species	0.05	Alouatta	Streptococcus constellatus	1	1	100
MALT	nt	species	0.05	Pan	Streptococcus constellatus	3	3	100
MALT	nt	species	0.05	Alouatta	Streptococcus cristatus	1	1	100
MALT	nt	species	0.05	Gorilla	Streptococcus cristatus	2	3	66.7
MALT	nt	species	0.05	Homo	Streptococcus cristatus	6	6	100
MALT	nt	species	0.05	Alouatta	Streptococcus dysgalactiae	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus equi	1	1	100
MALT	nt	species	0.05	Pan	Streptococcus equi	3	3	100
MALT	nt	species	0.05	Alouatta	Streptococcus gallolyticus	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus gordonii	1	1	100
MALT	nt	species	0.05	Gorilla	Streptococcus gordonii	2	3	66.7
MALT	nt	species	0.05	Homo	Streptococcus gordonii	6	6	100
MALT	nt	species	0.05	Alouatta	Streptococcus halotolerans	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus himalayensis	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus iniae	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus intermedius	1	1	100
MALT	nt	species	0.05	Gorilla	Streptococcus intermedius	2	3	66.7
MALT	nt	species	0.05	Pan	Streptococcus intermedius	3	3	100
MALT	nt	species	0.05	Homo	Streptococcus intermedius	5	6	83.3
MALT	nt	species	0.05	Alouatta	Streptococcus marmotae	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus massiliensis	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus merionis	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus mitis	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus mutans	1	1	100
MALT	nt	species	0.05	Gorilla	Streptococcus mutans	2	3	66.7
MALT	nt	species	0.05	Alouatta	Streptococcus oralis	1	1	100
MALT	nt	species	0.05	Homo	Streptococcus oralis	5	6	83.3
MALT	nt	species	0.05	Alouatta	Streptococcus pantholopis	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus parasanguinis	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus pasteurianus	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus pneumoniae	1	1	100
MALT	nt	species	0.05	Gorilla	Streptococcus pneumoniae	2	3	66.7
MALT	nt	species	0.05	Homo	Streptococcus pneumoniae	4	6	66.7
MALT	nt	species	0.05	Alouatta	Streptococcus pseudopneumoniae	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus pyogenes	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus salivarius	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus sanguinis	1	1	100
MALT	nt	species	0.05	Gorilla	Streptococcus sanguinis	2	3	66.7
MALT	nt	species	0.05	Homo	Streptococcus sanguinis	6	6	100
MALT	nt	species	0.05	Alouatta	Streptococcus sp. A12	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus sp. I-G2	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus sp. I-P16	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus sp. NPS 308	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus sp. oral taxon 431	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus sp. VT 162	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus thermophilus	1	1	100
MALT	nt	species	0.05	Alouatta	Streptococcus troglodytae	1	1	100
MetaPhlAn2	mp2	species	0.05	Alouatta	Streptococcus_massiliensis	1	1	100
MetaPhlAn2	mp2	species	0.05	Homo	Streptococcus_sanguinis	5	6	83.3
MALT	nt	genus	0.05	Alouatta	Streptomyces	1	1	100
MALT	nt	genus	0.05	Gorilla	Streptomyces	3	3	100
MALT	nt	genus	0.05	Pan	Streptomyces	3	3	100
MALT	nt	genus	0.05	Homo	Streptomyces	4	6	66.7
MALT	nt	genus	0.05	Pan	Tannerella	3	3	100
MALT	nt	genus	0.05	Homo	Tannerella	6	6	100
MetaPhlAn2	mp2	genus	0.05	Pan	Tannerella	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Tannerella	5	6	83.3
MALT	nt	species	0.05	Pan	Tannerella forsythia	3	3	100
MALT	nt	species	0.05	Homo	Tannerella forsythia	5	6	83.3
MALT	nt	species	0.05	Pan	Tannerella sp. oral taxon HOT-286	3	3	100
MALT	nt	species	0.05	Homo	Tannerella sp. oral taxon HOT-286	6	6	100
MetaPhlAn2	mp2	species	0.05	Pan	Tannerella_forsythia	3	3	100
MetaPhlAn2	mp2	species	0.05	Homo	Tannerella_forsythia	5	6	83.3
MALT	nt	genus	0.05	Alouatta	Tessaracoccus	1	1	100
MALT	nt	genus	0.05	Gorilla	Tessaracoccus	2	3	66.7
MALT	nt	genus	0.05	Pan	Tessaracoccus	2	3	66.7
MALT	nt	species	0.05	Alouatta	Tessaracoccus aquimaris	1	1	100
MALT	nt	species	0.05	Alouatta	Tessaracoccus flavescens	1	1	100
MALT	nt	species	0.05	Alouatta	Tessaracoccus flavus	1	1	100
MALT	nt	species	0.05	Alouatta	Tessaracoccus sp. T2.5-30	1	1	100
MALT	nt	species	0.05	Pan	Thermoplasmatales archaeon BRNA1	3	3	100
MALT	nt	genus	0.05	Pan	Treponema	3	3	100
MALT	nt	genus	0.05	Homo	Treponema	5	6	83.3
MetaPhlAn2	mp2	genus	0.05	Pan	Treponema	3	3	100
MetaPhlAn2	mp2	genus	0.05	Homo	Treponema	6	6	100
MALT	nt	species	0.05	Pan	Treponema denticola	3	3	100
MALT	nt	species	0.05	Pan	Treponema putidum	3	3	100
MetaPhlAn2	mp2	species	0.05	Pan	Treponema_maltophilum	2	3	66.7
MetaPhlAn2	mp2	species	0.05	Homo	Treponema_maltophilum	4	6	66.7
MetaPhlAn2	mp2	species	0.05	Pan	Treponema_socranskii	3	3	100
MetaPhlAn2	mp2	species	0.05	Homo	Treponema_socranskii	5	6	83.3
MALT	nt	species	0.05	Alouatta	uncultured bacterium	1	1	100
MALT	nt	species	0.05	Gorilla	uncultured bacterium	3	3	100
MALT	nt	species	0.05	Pan	uncultured bacterium	3	3	100
MALT	nt	species	0.05	Homo	uncultured bacterium	6	6	100
MALT	nt	genus	0.05	Alouatta	Veillonella	1	1	100
MALT	nt	genus	0.05	Alouatta	Xanthomonas	1	1	100
MALT	refseq	species	0.01	Homo	[Eubacterium] minutum	4	6	66.7
MALT	refseq	species	0.01	Homo	[Eubacterium] yurii	4	6	66.7
MALT	refseq	genus	0.01	Homo	Abiotrophia	5	6	83.3
MetaPhlAn2	mp2	genus	0.01	Homo	Abiotrophia	6	6	100
MALT	refseq	species	0.01	Homo	Abiotrophia defectiva	4	6	66.7
MALT	refseq	species	0.01	Homo	Abiotrophia sp. HMSC24B09	4	6	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Abiotrophia_defectiva	6	6	100
MALT	refseq	genus	0.01	Alouatta	Acidipropionibacterium	1	1	100
MALT	refseq	genus	0.01	Gorilla	Acidipropionibacterium	2	3	66.7
MALT	refseq	genus	0.01	Pan	Acidipropionibacterium	2	3	66.7
MALT	refseq	species	0.01	Alouatta	Acidipropionibacterium acidipropionici	1	1	100
MALT	refseq	genus	0.01	Alouatta	Actinobacillus	1	1	100
MALT	refseq	genus	0.01	Gorilla	Actinobacillus	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Alouatta	Actinobacillus	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Actinobacillus	2	3	66.7
MALT	refseq	species	0.01	Alouatta	Actinobacillus pleuropneumoniae	1	1	100
MALT	refseq	species	0.01	Alouatta	Actinobacillus succinogenes	1	1	100
MetaPhlAn2	mp2	species	0.01	Alouatta	Actinobacillus_unclassified	1	1	100
MALT	refseq	genus	0.01	Alouatta	Actinobaculum	1	1	100
MALT	refseq	genus	0.01	Pan	Actinobaculum	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Gorilla	Actinobaculum	2	3	66.7
MALT	refseq	species	0.01	Alouatta	Actinobaculum sp. oral taxon 183	1	1	100
MALT	refseq	genus	0.01	Alouatta	Actinomadura	1	1	100
MALT	refseq	genus	0.01	Gorilla	Actinomadura	2	3	66.7
MALT	refseq	genus	0.01	Alouatta	Actinomyces	1	1	100
MALT	refseq	genus	0.01	Gorilla	Actinomyces	3	3	100
MALT	refseq	genus	0.01	Pan	Actinomyces	2	3	66.7
MALT	refseq	genus	0.01	Homo	Actinomyces	5	6	83.3
MALT	refseq	genus	0.01	Control	Actinomyces	2	2	100
MetaPhlAn2	mp2	genus	0.01	Alouatta	Actinomyces	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Actinomyces	3	3	100
MetaPhlAn2	mp2	genus	0.01	Homo	Actinomyces	6	6	100
MALT	refseq	species	0.01	Alouatta	Actinomyces dentalis	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces dentalis	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces gerencseriae	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces gerencseriae	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces israelii	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces israelii	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces johnsonii	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces johnsonii	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces massiliensis	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces massiliensis	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces naeslundii	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces naeslundii	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces oris	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces oris	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces radicidentis	1	1	100
MALT	refseq	species	0.01	Alouatta	Actinomyces ruminicola	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces ruminicola	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces slackii	1	1	100
MALT	refseq	species	0.01	Alouatta	Actinomyces sp. HMSC075C01	1	1	100
MALT	refseq	species	0.01	Alouatta	Actinomyces sp. oral taxon 170	1	1	100
MALT	refseq	species	0.01	Homo	Actinomyces sp. oral taxon 170	5	6	83.3
MALT	refseq	species	0.01	Alouatta	Actinomyces sp. oral taxon 171	1	1	100
