Taxon ID	Genus	Species	Strain/Culture collection	Seq ID	No. of contigs & singlets	Combined length (bp) *
823	Mycobacterium	leprae	TN	1035	1	3268203
823	Mycobacterium	leprae	Br4923	1645	1	3268071
692	Mycobacterium	neoaurum	VKM Ac-1815D	2672	1	5438192
822	Mycobacterium	tuberculosis	F11 (ExPEC)	1096	1	4424435
822	Mycobacterium	tuberculosis	KZN 605	1132	1	4399120
822	Mycobacterium	tuberculosis	CTRI-2	2283	1	4398525
822	Mycobacterium	tuberculosis	H37Rv (lab strain)	1034	1	4411532
822	Mycobacterium	tuberculosis	H37Ra	1129	1	4419977
822	Mycobacterium	tuberculosis	UT205	2299	1	4418088
822	Mycobacterium	tuberculosis	CDC1551	1032	1	4403837
822	Mycobacterium	tuberculosis	KZN 1435	1130	1	4398250
607	Mycoplasma	fermentans	JER	1928	1	977524
607	Mycoplasma	fermentans	PG18	1265	1	1004014
607	Mycoplasma	fermentans	M64	1263	1	1118751
616	Mycoplasma	genitalium	G37, ATCC 33530	1267	1	580076
616	Mycoplasma	genitalium	M6282	2377	1	579504
616	Mycoplasma	genitalium	JCVI-1.0	2779	1	582970
616	Mycoplasma	genitalium	M2321	2376	1	579977
616	Mycoplasma	genitalium	M6320	2378	1	579796
616	Mycoplasma	genitalium	M2288	2375	1	579558
632	Mycoplasma	hominis	ATCC 27545	2524	22	684158
632	Mycoplasma	hominis	ATCC 23114	1722	1	665445
704	Mycoplasma	orale	ATCC 23714	2553	21	710549
732	Mycoplasma	pneumoniae	309	2156	1	817176
732	Mycoplasma	pneumoniae	FH	2157	1	811088
732	Mycoplasma	pneumoniae	M129, ATCC29342	1271	1	816394
732	Mycoplasma	pneumoniae	M129-B7	2571	1	816373
754	Mycoplasma	salivarium	ATCC 23064	2607	17	713526
13	Neisseria	bacilliformis	ATCC BAA-1200	1969	69	2434769
956	Neisseria	cinerea	atcc_14685	2899	35	1872773
598	Neisseria	elongata	ATCC 29315	1166	153	2275949
610	Neisseria	flavescens	SK114	1790	31	2204114
610	Neisseria	flavescens	NRL30031/H210	1195	117	2205588
621	Neisseria	gonorrhoeae	FA 1090, ATCC 700825	1272	1	2153922
621	Neisseria	gonorrhoeae	DGI2	1794	134	2093927
621	Neisseria	gonorrhoeae	NCCP11945	1109	2	2236178
649	Neisseria	lactamica	Y92-1009	2141	44	2023964
649	Neisseria	lactamica	020-06	2159	1	2220606
649	Neisseria	lactamica	ATCC 23970	1261	101	2171992
99	Neisseria	macacae	atcc_33926	2876	66	2748368
669	Neisseria	meningitidis	serogroup C, FAM18	1275	1	2194961
669	Neisseria	meningitidis	H44/76	2286	1	2240883
669	Neisseria	meningitidis	53442	1100	1	2153416
669	Neisseria	meningitidis	8013 (serogroup C)	1277	1	2277550
669	Neisseria	meningitidis	WUE 2594	2288	1	2227255
669	Neisseria	meningitidis	G2136	2285	1	2184862
669	Neisseria	meningitidis	alpha14	1723	1	2145295
669	Neisseria	meningitidis	MC58	1276	1	2272360
669	Neisseria	meningitidis	NZ-05/33	2287	1	2248966
669	Neisseria	meningitidis	961-5945	2329	166	2227211
669	Neisseria	meningitidis	alpha710	2284	1	2242947
669	Neisseria	meningitidis	ATCC 13091	1916	147	2159280
669	Neisseria	meningitidis	serogroup A, Z2491	1283	1	2184406
682	Neisseria	mucosa	ATCC 25996	1175	67	2578748
682	Neisseria	mucosa	C102	2142	23	2160730
14	Neisseria	oralis	F0314	1659	48	2502635
737	Neisseria	polysaccharea	ATCC 43768	1183	139	2030958
764	Neisseria	sicca	VK64	2351	210	2638449
764	Neisseria	sicca	ATCC 29256	1264	61	2830772
20	Neisseria	sp. HMT 020	F0370	1944	220	2360056
476	Neisseria	subflava	NJ9703	1165	63	2292986
92	Neisseria	weaveri	LMG 5135	2331	46	2183368
92	Neisseria	weaveri	ATCC 51223	2330	40	2125582
544	Ochrobactrum	anthropi	W13P3	2673	48	5277767
544	Ochrobactrum	anthropi	--	1284	143	99498
544	Ochrobactrum	anthropi	ATCC 49188	1457	6	5205777
806	Olsenella	profusa	F0195	1933	73	2724935
807	Olsenella	sp. HMT 807	F0089	2751	1	3213585
809	Olsenella	sp. HMT 809	F0356	1670	17	2159805
38	Olsenella	uli	MSTE5	2631	14	2153240
38	Olsenella	uli	DSM 7084, VPI, ATCC 49627	1031	1	2051896
108	Oribacterium	asaccharolyticum	F0425	1854	1	2518361
934	Oribacterium	parvum	ACB1	2777	2	2470863
457	Oribacterium	sinus	F0268	1607	254	2629409
78	Oribacterium	sp. HMT 078	F0262	1603	42	2671548
78	Oribacterium	sp. HMT 078	F0263	2448	114	2690258
894	Ottowia	sp. HMT 894	W10237	2749	1	2925783
921	Paenibacillus	glucanolyticus	5162	2880	1	5897585
786	Paenibacillus	phoenicis	D14	1658	300	4872225
104	Paracoccus	yeei	fdaargos_252	2867	8	4829339
586	Parascardovia	denticolens	F0305	1655	26	1891123
586	Parascardovia	denticolens	IPLA 20019	2391	38	2003311
586	Parascardovia	denticolens	DSM 10105	2021	2	1891248
111	Parvimonas	micra	ATCC 33270	1029	17	1703772
110	Parvimonas	sp. HMT 110	F0139	1676	2	1556464
393	Parvimonas	sp. HMT 393	F0440	1857	5	1483165
848	Peptidiphaga	gingivicola	F0332	1660	17	2518495
183	Peptidiphaga	sp. HMT 183	F0552	2310	117	2357424
113	Peptoniphilaceae [G-1]	bacterium HMT 113	W5053	2443	156	2084201
109	Peptoniphilus	harei	acs_146_v_sch2b	2888	32	1836030
109	Peptoniphilus	harei	dnf00840	2960	72	1777928
109	Peptoniphilus	harei	hmsc075b08	3035	37	1896022
840	Peptoniphilus	indolicus	ATCC 29427	1974	302	2101630
836	Peptoniphilus	lacrimalis	315-B	1795	65	1697645
836	Peptoniphilus	lacrimalis	DSM 7455	2505	22	1849103
836	Peptoniphilus	lacrimalis	F0141	1681	145	1625156
187	Peptoniphilus	sp. HMT 187	hmsc062d09	2963	70	1883002
375	Peptoniphilus	sp. HMT 375	F0436	1855	1	1950550
386	Peptoniphilus	sp. HMT 386	F0131	1472	72	1550062
105	Peptostreptococcaceae [XI][G-1]	[Eubacterium] infirmum	F0142	1695	42	1900824
105	Peptostreptococcaceae [XI][G-1]	[Eubacterium] infirmum	ATCC 700433, NCTC 12940	1108	413	408875
467	Peptostreptococcaceae [XI][G-1]	[Eubacterium] sulci	ATCC 35585	2744	1	1739380
759	Peptostreptococcaceae [XI][G-5]	[Eubacterium] saphenum	ATCC 49989	1017	4	1084446
694	Peptostreptococcaceae [XI][G-6]	[Eubacterium] nodatum	ATCC 33099	2789	29	1829558
377	Peptostreptococcaceae [XI][G-7]	[Eubacterium] yurii subsps. yurii & margaretiae	ATCC 43715	1912	85	2470055
557	Peptostreptococcaceae [XI][G-9]	[Eubacterium] brachy	ATCC 33089	2787	19	1544525
542	Peptostreptococcus	anaerobius	653-L	1921	73	2083092
542	Peptostreptococcus	anaerobius	VPI 4330, ATCC 27337	1895	110	1988071
542	Peptostreptococcus	anaerobius	DSM 2949	2506	70	2106123
112	Peptostreptococcus	stomatis	DSM 17678, W2278	1393	68	1986620
547	Porphyromonas	asaccharolytica	PR426713P-I	2145	58	2199119
547	Porphyromonas	asaccharolytica	DSM 20707	2160	1	2186370
283	Porphyromonas	catoniae	ATCC 51270	2632	25	2040170
283	Porphyromonas	catoniae	F0037	1936	42	2105832
273	Porphyromonas	endodontalis	ATCC 35406	1033	37	2064508
619	Porphyromonas	gingivalis	HG66	2740	1	2441780
619	Porphyromonas	gingivalis	W83	1064	1	2343476
619	Porphyromonas	gingivalis	F0570	2356	161	2278391
619	Porphyromonas	gingivalis	SJD2	2616	140	2328850
619	Porphyromonas	gingivalis	381	2797	1	2378872
619	Porphyromonas	gingivalis	F0185	2457	174	2240268
619	Porphyromonas	gingivalis	AJW4	2742	1	2372492
619	Porphyromonas	gingivalis	ATCC 33277	1538	1	2354886
619	Porphyromonas	gingivalis	JCVI SC001	2507	282	2398196
619	Porphyromonas	gingivalis	F0569	2355	183	2242027
619	Porphyromonas	gingivalis	MP4-504	2799	92	2373453
619	Porphyromonas	gingivalis	TDC60	1975	1	2339898
619	Porphyromonas	gingivalis	A7436	2741	1	2367029
619	Porphyromonas	gingivalis	W4087	2447	154	2212597
619	Porphyromonas	gingivalis	Ando	2743	112	2229994
619	Porphyromonas	gingivalis	F0568	2366	219	2328244
619	Porphyromonas	gingivalis	W50	2392	104	2242062
619	Porphyromonas	gingivalis	A7A1-28	2798	1	2249024
619	Porphyromonas	gingivalis	F0566	2458	243	2300992
279	Porphyromonas	pasteri	F0450	1907	51	2265201
278	Porphyromonas	sp. HMT 278	W7784	2357	117	2154316
785	Porphyromonas	uenonis	JCM 13868	2674	112	2260105
785	Porphyromonas	uenonis	60-3	1796	250	2242885
553	Prevotella	baroniae	DSM 16972	2582	48	3128637
553	Prevotella	baroniae	F0067	1934	44	3024338
553	Prevotella	baroniae	JCM 13447	2675	94	3116148
556	Prevotella	bivia	DNF00650	2730	173	2408181
556	Prevotella	bivia	DSM 20514	2380	14	2520138
556	Prevotella	bivia	JCVIHMP010	1797	121	2424432
556	Prevotella	bivia	DNF00320	2729	179	2584224
556	Prevotella	bivia	DNF00188	2728	158	2527024
560	Prevotella	buccae	D17	1798	264	3297980
560	Prevotella	buccae	ATCC 33574	1985	69	3222824
562	Prevotella	buccalis	DNF00985	2732	102	2756480
562	Prevotella	buccalis	ATCC 35310	1799	118	3033961
562	Prevotella	buccalis	DNF00853	2731	97	2954213
583	Prevotella	dentalis	DSM 3688	2022	73	3240350
291	Prevotella	denticola	CRIS 18C-A	2146	121	3177783
291	Prevotella	denticola	DNF00960	2733	126	3050207
291	Prevotella	denticola	JCM 13449	2676	82	3111749
291	Prevotella	denticola	DSM 20614	2563	57	3056806
291	Prevotella	denticola	F0289	1677	1	2937589
600	Prevotella	enoeca	JCM 12259	2677	117	2784020
600	Prevotella	enoeca	F0113	2792	1	2861432
782	Prevotella	fusca	W1435	2753	2	3261806
782	Prevotella	fusca	JCM 17724	2678	116	3173817
298	Prevotella	histicola	F0411	1852	39	2987441
298	Prevotella	histicola	JCM 15637 = DNF00424	2679	55	2949807
643	Prevotella	intermedia	ATCC 25611 = DSM 20706	2554	24	2562862
643	Prevotella	intermedia	17	1065	2	2699437
658	Prevotella	loescheii	DSM 19665 = JCM 12249 = ATCC 15930	2461	35	3504766
289	Prevotella	maculosa	JCM 15638	2680	133	3296416
289	Prevotella	maculosa	DSM 19339	2508	63	3312100
289	Prevotella	maculosa	OT 289, F0099	2147	54	3134147
665	Prevotella	marshii	DSM 16973	1915	79	2517013
665	Prevotella	marshii	JCM 13450	2681	80	2518161
469	Prevotella	melaninogenica	D18	1800	173	3213441
469	Prevotella	melaninogenica	DNF00666	2734	553	2976254
469	Prevotella	melaninogenica	ATCC 25845	1142	2	3168282
378	Prevotella	micans	JCM 16134	2682	108	2426740
378	Prevotella	micans	DSM 21469	2509	56	2434532
378	Prevotella	micans	F0438	1863	69	2467372
685	Prevotella	multiformis	DSM 16608	1986	71	3034360
794	Prevotella	multisaccharivorax	DSM 17128	1987	25	3387544
299	Prevotella	nanceiensis	F0039	1452	32	2443517
693	Prevotella	nigrescens	F0103	1689	131	3021735
693	Prevotella	nigrescens	CC14M	2617	59	2965731
693	Prevotella	nigrescens	ATCC 33563	1893	86	2612230
705	Prevotella	oralis	HGA0225	2523	21	2849142
705	Prevotella	oralis	ATCC 33269	1988	6	2833787
705	Prevotella	oralis	CC98A	2618	14	2981962
311	Prevotella	oris	JCM 12252	2683	94	3077999
311	Prevotella	oris	DSM 18711	2510	53	3061169
311	Prevotella	oris	F0302	1656	83	3243891
288	Prevotella	oulorum	F0390	1691	81	2788455
288	Prevotella	oulorum	JCM 14966	2684	138	2827758
714	Prevotella	pallens	ATCC 700821	1989	168	3047417
303	Prevotella	pleuritidis	F0068	1935	51	2709958
781	Prevotella	saccharolytica	JCM 17484	2685	82	2975513
781	Prevotella	saccharolytica	F0055	1946	162	2855700
307	Prevotella	salivae	DSM 15606	2149	258	3140543
307	Prevotella	salivae	F0493	1932	32	3099908
885	Prevotella	scopos	JCM 17725,W2052	2686	113	3184425
885	Prevotella	scopos	w2052	2922	3	3303745
795	Prevotella	shahii	JCM 12083	2687	142	3489881
306	Prevotella	sp. HMT 306	F0472	1887	74	2945767
317	Prevotella	sp. HMT 317	F0108	1477	205	3994572
472	Prevotella	sp. HMT 472	F0295	1617	190	3571906
572	Prevotella	veroralis	DSM 19559	2511	30	2842181
572	Prevotella	veroralis	JCM 6290	2688	65	2834450
572	Prevotella	veroralis	F0319	1663	97	2986480
192	Propionibacteriaceae [G-2]	bacterium HMT 192	F0372	1972	15	2704051
676	Proteus	mirabilis	WGLW6	2394	54	4049051
676	Proteus	mirabilis	WGLW4	2393	36	3920397
676	Proteus	mirabilis	BB2000	2572	1	3846754
676	Proteus	mirabilis	ATCC 29906	1802	97	3970930
676	Proteus	mirabilis	HI4320	1289	2	4099895
536	Pseudomonas	aeruginosa	39016	2193	349	6667333
536	Pseudomonas	aeruginosa	138244	1991	381	6344409
536	Pseudomonas	aeruginosa	NCGM2.S1	2168	1	6764661
536	Pseudomonas	aeruginosa	PAO1	1297	1	6264404
536	Pseudomonas	aeruginosa	ATCC 14886	2696	211	6378034
536	Pseudomonas	aeruginosa	LESB58	1619	1	6601757
536	Pseudomonas	aeruginosa	M18	2167	1	6327754
536	Pseudomonas	aeruginosa	PA7	1295	1	6588339
536	Pseudomonas	aeruginosa	HB15	1992	389	6813259
536	Pseudomonas	aeruginosa	UCBPP-PA14	1298	1	6537648
536	Pseudomonas	aeruginosa	ATCC 700888	2697	600	6794802
612	Pseudomonas	fluorescens	SS101	2381	1	6179443
612	Pseudomonas	fluorescens	Pf0-1	1301	1	6438405
612	Pseudomonas	fluorescens	Pf-5	1300	1	7074893
612	Pseudomonas	fluorescens	A506	2332	1	5962570
612	Pseudomonas	fluorescens	WH6	2196	53	6265667
612	Pseudomonas	fluorescens	F113	2169	1	6845832
612	Pseudomonas	fluorescens	SBW25	1302	1	6722539
834	Pseudomonas	otitidis	--	2695	77	6296207
740	Pseudomonas	pseudoalcaligenes	KF707	2352	209	6917578
740	Pseudomonas	pseudoalcaligenes	AD6	2714	198	5392257
740	Pseudomonas	pseudoalcaligenes	CECT 5344	2423	24	4656168
477	Pseudomonas	stutzeri	DSM 4166	2171	1	4689946
477	Pseudomonas	stutzeri	ATCC 14405 = CCUG 16156	2333	130	4525589
477	Pseudomonas	stutzeri	ATCC 17588 = LMG 11199	2170	1	4547930
477	Pseudomonas	stutzeri	A1501, CGMCC 0351	1303	1	4567418
477	Pseudomonas	stutzeri	CCUG 29243	2382	1	4709064
477	Pseudomonas	stutzeri	DSM 10701	2521	1	4174118
477	Pseudomonas	stutzeri	TS44	2513	78	4278818
739	Pseudopropionibacterium	propionicum	F0230a	1678	1	3449360
538	Pseudoramibacter	alactolyticus	ATCC 23263	1993	75	2327229
357	Pyramidobacter	piscolens	W5455 (JCVI)	1475	467	338862
357	Pyramidobacter	piscolens	W5455, DSM 21147, CCUG 55836, F0317	1611	140	2562014
357	Pyramidobacter	piscolens	W5455 (TFI-JCVI)	1541	852	615414
357	Pyramidobacter	piscolens	W5455 (TFI)	1474	385	276552
854	Ralstonia	pickettii	OR214	2514	46	5480587
854	Ralstonia	pickettii	DTP0602	2603	3	8125850
854	Ralstonia	pickettii	12J	2172	3	5325729
854	Ralstonia	pickettii	12D	1977	5	5685358
857	Rhodobacter	capsulatus	Y262	2622	54	3850334
857	Rhodobacter	capsulatus	B6	2619	116	3811946
857	Rhodobacter	capsulatus	YW2	2624	65	3777626
857	Rhodobacter	capsulatus	R121	2621	39	3766673
857	Rhodobacter	capsulatus	YW1	2623	54	3653919
857	Rhodobacter	capsulatus	DE442	2620	40	3760501
857	Rhodobacter	capsulatus	SB 1003	1980	2	3871920
244	Roseomonas	gilardii	u14_5	2908	5	5412463
245	Roseomonas	mucosa	au37	2894	249	4741248
188	Rothia	aeria	F0184	1688	83	2598088
188	Rothia	aeria	F0474	1901	50	2584293
587	Rothia	dentocariosa	ATCC 17931	1925	1	2506025
587	Rothia	dentocariosa	M567	1994	26	2522580
681	Rothia	mucilaginosa	DY-18	1724	1	2264603
681	Rothia	mucilaginosa	M508	2197	18	2310168
681	Rothia	mucilaginosa	ATCC 25296	1039	25	2255158
348	Saccharibacteria (TM7) [G-1]	bacterium HMT 348	TM7b	1468	85	112753
348	Saccharibacteria (TM7) [G-1]	bacterium HMT 348	TM7c	1469	129	474179
952	Saccharibacteria (TM7) [G-1]	bacterium HMT 952	TM7x	2796	1	705138
856	Sanguibacter	keddieii	DSM 10542	1979	1	4253413
642	Scardovia	inopinata	F0304, DSM 10107	1654	20	1801055
195	Scardovia	wiggsiae	F0424	1853	6	1552186
124	Selenomonas	artemidis	DSM 19719	2584	36	2350559
124	Selenomonas	artemidis	F0399	1697	61	2208863
125	Selenomonas	flueggei	ATCC 43531	1616	33	2157862
639	Selenomonas	infelix	ATCC 43532	1673	46	2409106
130	Selenomonas	noxia	ATCC 43541	1593	56	2039467
130	Selenomonas	noxia	F0398	1690	26	2107556
126	Selenomonas	sp. HMT 126	W7667	2805	1	2886041
133	Selenomonas	sp. HMT 133	F0473	1890	10	2055819
136	Selenomonas	sp. HMT 136	F0591	2791	2	2458072
137	Selenomonas	sp. HMT 137	F0430	1858	15	2475066
138	Selenomonas	sp. HMT 138	F0429	1951	110	2385683
149	Selenomonas	sp. HMT 149	67H29BP, F0410	1914	56	2429414
478	Selenomonas	sp. HMT 478	F0592	2752	1	2284135
892	Selenomonas	sp. HMT 892	F0426	2454	107	2306741
920	Selenomonas	sp. HMT 920	W5150	2919	2	2440121
151	Selenomonas	sputigena	ATCC 35185	1598	60	2553831
115	Serratia	marcescens	rsc_14	2889	1	5127030
95	Shuttleworthia	satelles	DSM 14600, BAA-774, CCUG 45864	1045	10	2168977
683	Simonsiella	muelleri	ATCC 29453	1652	82	2343541
602	Slackia	exigua	ATCC 700122	1599	19	2094589
844	Sneathia	amnii [Not Validly Published]	SN35	2778	1	1330224
678	Solobacterium	moorei	DSM 22971	2585	170	2335456
678	Solobacterium	moorei	W5408	1152	338	353572
678	Solobacterium	moorei	F0204	1683	43	2004937
550	Staphylococcus	aureus	A8796	2199	98	2968236
550	Staphylococcus	aureus	NCTC 8325	1319	1	2821361
550	Staphylococcus	aureus	Mu50, (VRSA), ATCC 700699	1316	2	2903636
550	Staphylococcus	aureus	TCH60	1832	2	2827166
550	Staphylococcus	aureus	MRSA USA300_TCH1516	1492	3	2903081
550	Staphylococcus	aureus	JH9	1313	2	2937129
550	Staphylococcus	aureus	A9781	1815	50	2822169
550	Staphylococcus	aureus	D30	1489	463	2775621
550	Staphylococcus	aureus	RF122	1310	1	2742531
550	Staphylococcus	aureus	A9719	1812	60	2856961
550	Staphylococcus	aureus	JKD6008	1620	1	2924344
550	Staphylococcus	aureus	A8117	1809	32	2715851
550	Staphylococcus	aureus	A6224	1806	49	2870228
550	Staphylococcus	aureus	A10102	1803	45	2820632
550	Staphylococcus	aureus	A9754	2201	59	2930317
550	Staphylococcus	aureus	N315	1318	2	2839469
550	Staphylococcus	aureus	WW2703/97	1835	151	2743583
550	Staphylococcus	aureus	MSSA476	1315	2	2820454
550	Staphylococcus	aureus	TCH130	1831	284	2765336
550	Staphylococcus	aureus	04-02981	2173	1	2821452
550	Staphylococcus	aureus	USA300_TCH959	1491	256	2810505
550	Staphylococcus	aureus	JH1	1312	2	2936936
550	Staphylococcus	aureus	A9765	1814	86	2887954
550	Staphylococcus	aureus	930918-3	1488	736	2923460
550	Staphylococcus	aureus	A9635	1811	40	2731263
550	Staphylococcus	aureus	A8115	1808	38	2746960
550	Staphylococcus	aureus	A5948	1805	65	2846107
550	Staphylococcus	aureus	O46	2203	96	2811260
550	Staphylococcus	aureus	A8819	2200	48	2916471
550	Staphylococcus	aureus	str. Newman	1431	1	2878897
550	Staphylococcus	aureus	ED98	1725	4	2847542
550	Staphylococcus	aureus	MRSA, USA300, FPR3757	1320	4	2917469
550	Staphylococcus	aureus	MW2	1317	1	2820462
550	Staphylococcus	aureus	TCH70	1833	18	2812425
550	Staphylococcus	aureus	MRSA252	1314	1	2902619
550	Staphylococcus	aureus	MN8	1830	5	2882664
550	Staphylococcus	aureus	Mu3	1490	1	2880168
550	Staphylococcus	aureus	COL	1311	2	2813862
550	Staphylococcus	aureus	A9763	1813	41	2769858
550	Staphylococcus	aureus	A9299	1810	48	2782181
550	Staphylococcus	aureus	A6300	1807	49	2816649
550	Staphylococcus	aureus	A5937	1804	32	2827272
550	Staphylococcus	aureus	O11	2202	87	2770352
116	Staphylococcus	capitis	ayp1020	2881	2	2503265
567	Staphylococcus	caprae	C87	2204	46	2460970
117	Staphylococcus	cohnii	snuds_2	2860	3	2625703
601	Staphylococcus	epidermidis	RP62A, ATCC 35984	1324	2	2643840
601	Staphylococcus	epidermidis	M23864:W1	1836	78	2611504
601	Staphylococcus	epidermidis	M23864:W2(grey)	2207	67	2486756
601	Staphylococcus	epidermidis	VCU028	2383	61	2449850
601	Staphylococcus	epidermidis	ATCC 12228	1322	7	2564615
601	Staphylococcus	epidermidis	W23144	1838	164	2573277
601	Staphylococcus	epidermidis	BCM-HMP0060	1640	115	2552994
601	Staphylococcus	epidermidis	FRI909	2206	56	2541845
601	Staphylococcus	epidermidis	SK135	1837	33	2518045
601	Staphylococcus	epidermidis	14.1.R1.SE	2205	131	2555725
120	Staphylococcus	haemolyticus	s167	2892	2	2560146
127	Staphylococcus	hominis	as3	2901	15	1983631
128	Staphylococcus	lugdunensis	fdaargos_143	2909	1	2613826
141	Staphylococcus	pasteuri	sp1	2849	1	2559946
142	Staphylococcus	pettenkoferi	fdaargos_288	2895	1	2502346
233	Staphylococcus	schleiferi	tscc54	2914	1	2528077
76	Staphylococcus	warneri	L37603	1839	77	2425653
76	Staphylococcus	warneri	Lyso 1 2011	2712	52	2489589
76	Staphylococcus	warneri	SG1	2442	8	2547530
76	Staphylococcus	warneri	Lyso 2 2011	2713	49	2508959
76	Staphylococcus	warneri	VCU121	2208	183	2459386
663	Stenotrophomonas	maltophilia	AU12-09	2515	125	4547300
663	Stenotrophomonas	maltophilia	JV3	2174	1	4544477
663	Stenotrophomonas	maltophilia	D457	2300	1	4769156
663	Stenotrophomonas	maltophilia	R551-3	1330	1	4573969
663	Stenotrophomonas	maltophilia	K279a	1329	1	4851126
663	Stenotrophomonas	maltophilia	EPM1	2478	19	4785869
663	Stenotrophomonas	maltophilia	Ab55555	2395	21	4914508
37	Stenotrophomonas	nitritireducens	DSM 12575	2803	95	3983487
419	Stomatobaculum	longum	ACC2	2481	16	2308581
537	Streptococcus	agalactiae	A909	1334	1	2127839
537	Streptococcus	agalactiae	18RS21	1331	553	2193092
537	Streptococcus	agalactiae	COH1	1336	393	2205442
537	Streptococcus	agalactiae	515	1333	255	2088229
537	Streptococcus	agalactiae	FSL S3-026	2209	8	2455848
537	Streptococcus	agalactiae	NEM316	1338	1	2211485
537	Streptococcus	agalactiae	CJB111	1335	155	2105032
537	Streptococcus	agalactiae	ATCC 13813	1995	134	2114958
537	Streptococcus	agalactiae	2603V/R	1332	1	2160267
537	Streptococcus	agalactiae	CF01173	2516	131	2024610
537	Streptococcus	agalactiae	H36B	1337	345	2201150
543	Streptococcus	anginosus	CCUG 39159	2334	82	2294507
543	Streptococcus	anginosus	C238	2588	1	2233640
543	Streptococcus	anginosus	1_2_62CV	2210	18	1815537
543	Streptococcus	anginosus	subsp. whileyi MAS624	2609	1	2122284
543	Streptococcus	anginosus	SK52	1996	109	1892386
543	Streptococcus	anginosus	C1051	2587	1	1911706
543	Streptococcus	anginosus	SK1138	2397	13	1958191
543	Streptococcus	anginosus	F0211	1692	63	1993709
73	Streptococcus	australis	ATCC 700641	2020	27	2110220
576	Streptococcus	constellatus	subsp. pharyngis C818	2591	1	1935662
576	Streptococcus	constellatus	subsp. pharyngis C232	2590	1	1935414
576	Streptococcus	constellatus	subsp. pharyngis C1050	2589	1	1991156
576	Streptococcus	constellatus	subsp. pharyngis SK1060	2211	9	1963555
576	Streptococcus	constellatus	subsp. constellatus SK53	2643	54	1840061
578	Streptococcus	cristatus clade 578	ATCC 51100	1997	31	1965284
578	Streptococcus	cristatus clade 578	AS 1.3089	2520	1	2142100
594	Streptococcus	downei	F0415	1846	17	2239421
622	Streptococcus	gordonii	Challis CH1, ATCC 35105, NCTC7868	1066	1	2196662
431	Streptococcus	infantis clade 431	F0610 (5-114)	2786	1	2177905
638	Streptococcus	infantis clade 638	X	2216	16	1869505
638	Streptococcus	infantis clade 638	SPAR10	2398	10	1758646
638	Streptococcus	infantis clade 638	SK1076	2213	30	1744061
638	Streptococcus	infantis clade 638	ATCC BAA-102	1924	22	1925087
638	Streptococcus	infantis clade 638	SK970	2215	9	1945605
638	Streptococcus	infantis clade 638	ATCC 700779	2212	31	1884302
638	Streptococcus	infantis clade 638	SK1302	2214	148	1792252
644	Streptococcus	intermedius	ATCC 27335	2363	10	1951449
644	Streptococcus	intermedius	F0395	1706	22	1927278
644	Streptococcus	intermedius	BA1	2424	48	1965880
644	Streptococcus	intermedius	F0413	1703	13	1921347
644	Streptococcus	intermedius	C270	2593	1	1960728
644	Streptococcus	intermedius	JTH08	2361	1	1933610
644	Streptococcus	intermedius	SK54	2336	17	1910718
644	Streptococcus	intermedius	B196	2592	1	1996214
677	Streptococcus	mitis	NCTC 12261	2480	24	1831081
677	Streptococcus	mitis	SK569	2219	54	1975266
677	Streptococcus	mitis	SK564	2002	35	2026898
677	Streptococcus	mitis	SK575	2337	90	2018798
677	Streptococcus	mitis	NCTC 12261	1068	1	2045857
677	Streptococcus	mitis	B6	1067	1	2146611
677	Streptococcus	mitis	SK1080	2218	34	1943752
677	Streptococcus	mitis	SK616	2339	126	1986919
677	Streptococcus	mitis	SK321	2001	40	1873702
677	Streptococcus	mitis	SK1073	2217	54	2114708
677	Streptococcus	mitis	SK597	2003	108	2029198
677	Streptococcus	mitis	SK579	2338	82	1979452
686	Streptococcus	mutans	UA159, ATCC 700610	1069	1	2030921
686	Streptococcus	mutans	NN2025	1382	1	2013587
398	Streptococcus	oralis subsp. dentisani clade 398	SK95	1999	66	2020730
398	Streptococcus	oralis subsp. dentisani clade 398	F0392	2767	2	1916998
398	Streptococcus	oralis subsp. dentisani clade 398	F0407	1704	55	1846752
707	Streptococcus	oralis subsp. oralis	ATCC 35037	2023	28	1905531
707	Streptococcus	oralis subsp. oralis	SK610	2343	31	1986816
707	Streptococcus	oralis subsp. oralis	Uo5	2005	1	1958690
707	Streptococcus	oralis subsp. oralis	SK10	2340	39	1938353
707	Streptococcus	oralis subsp. oralis	ATCC 35037, SK23, NCTC11427	1917	25	1884712
707	Streptococcus	oralis subsp. oralis	SK313	2221	5	1888813
707	Streptococcus	oralis subsp. oralis	SK1074	2342	20	1853895
707	Streptococcus	oralis subsp. oralis	ATCC 6249	1998	20	1897538
707	Streptococcus	oralis subsp. oralis	SK255	2220	63	2005180
707	Streptococcus	oralis subsp. oralis	SK304	2399	25	2020585
707	Streptococcus	oralis subsp. oralis	SK100	2341	51	1920577
70	Streptococcus	oralis subsp. tigurinus clade 070	F0441	1888	11	1981149
71	Streptococcus	oralis subsp. tigurinus clade 071	73H25AP, F0408	1913	20	1960470
411	Streptococcus	parasanguinis clade 411	F0405	1702	16	2050302
721	Streptococcus	parasanguinis clade 721	F0449	1885	134	2082334
721	Streptococcus	parasanguinis clade 721	CC87K	2625	12	2186537
721	Streptococcus	parasanguinis clade 721	ATCC 903	2222	84	2116147
721	Streptococcus	parasanguinis clade 721	SK236	2007	18	1988691
