study_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_model	library_name	library_layout	library_strategy	read_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB18629	ERS1600913	ERX1944107	ERR1883606	Illumina MiSeq	L5674	PAIRED	Targeted-Capture	713706	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883606/ERR1883606.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883606/ERR1883606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883606/ERR1883606_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5674.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5674.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883606
PRJEB18629	ERS1600914	ERX1944108	ERR1883607	Illumina MiSeq	L5690	PAIRED	Targeted-Capture	837383	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883607/ERR1883607.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883607/ERR1883607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883607/ERR1883607_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5690.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5690.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883607
PRJEB18629	ERS1600915	ERX1944109	ERR1883608	Illumina MiSeq	L5691	PAIRED	Targeted-Capture	795011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883608/ERR1883608.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883608/ERR1883608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883608/ERR1883608_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5691.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5691.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883608
PRJEB18629	ERS1600916	ERX1944110	ERR1883609	Illumina MiSeq	L5692	PAIRED	Targeted-Capture	904975	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883609/ERR1883609.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883609/ERR1883609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883609/ERR1883609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5692.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5692.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883609
PRJEB18629	ERS1600917	ERX1944111	ERR1883610	Illumina MiSeq	L5693	PAIRED	Targeted-Capture	902023	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883610/ERR1883610.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883610/ERR1883610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883610/ERR1883610_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5693.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5693.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883610
PRJEB18629	ERS1600918	ERX1944112	ERR1883611	Illumina MiSeq	D2614	PAIRED	Targeted-Capture	868742	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883611/ERR1883611.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883611/ERR1883611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883611/ERR1883611_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/D2614.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/D2614.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883611
PRJEB18629	ERS1600919	ERX1944113	ERR1883612	Illumina MiSeq	R4467	PAIRED	Targeted-Capture	2685901	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883612/ERR1883612.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883612/ERR1883612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883612/ERR1883612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4467.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4467.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883612
PRJEB18629	ERS1600920	ERX1944114	ERR1883613	Illumina MiSeq	R4468	PAIRED	Targeted-Capture	2723189	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883613/ERR1883613.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883613/ERR1883613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883613/ERR1883613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4468.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4468.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883613
PRJEB18629	ERS1600921	ERX1944115	ERR1883614	Illumina MiSeq	R4206	PAIRED	Targeted-Capture	741086	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883614/ERR1883614.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883614/ERR1883614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883614/ERR1883614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4206.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4206.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883614
PRJEB18629	ERS1600922	ERX1944116	ERR1883615	Illumina MiSeq	R4207	PAIRED	Targeted-Capture	829605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883615/ERR1883615.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883615/ERR1883615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883615/ERR1883615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4207.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4207.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883615
PRJEB18629	ERS1600923	ERX1944117	ERR1883616	Illumina MiSeq	R4209	PAIRED	Targeted-Capture	563128	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883616/ERR1883616.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883616/ERR1883616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883616/ERR1883616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4209.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4209.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883616
PRJEB18629	ERS1600924	ERX1944118	ERR1883617	Illumina MiSeq	R4210	PAIRED	Targeted-Capture	763741	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883617/ERR1883617.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883617/ERR1883617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883617/ERR1883617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4210.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4210.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883617
PRJEB18629	ERS1600925	ERX1944119	ERR1883618	Illumina MiSeq	R4211	PAIRED	Targeted-Capture	653228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883618/ERR1883618.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883618/ERR1883618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883618/ERR1883618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4211.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4211.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883618
PRJEB18629	ERS1600926	ERX1944120	ERR1883619	Illumina MiSeq	R4212	PAIRED	Targeted-Capture	648695	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883619/ERR1883619.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883619/ERR1883619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883619/ERR1883619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4212.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4212.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883619
PRJEB18629	ERS1600927	ERX1944121	ERR1883620	Illumina MiSeq	R4213	PAIRED	Targeted-Capture	652330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883620/ERR1883620.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883620/ERR1883620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883620/ERR1883620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4213.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4213.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883620
PRJEB18629	ERS1600928	ERX1944122	ERR1883621	Illumina MiSeq	R4214	PAIRED	Targeted-Capture	799223	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883621/ERR1883621.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883621/ERR1883621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883621/ERR1883621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4214.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4214.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883621
PRJEB18629	ERS1600929	ERX1944123	ERR1883622	Illumina MiSeq	R4215	PAIRED	Targeted-Capture	605793	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883622/ERR1883622.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883622/ERR1883622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883622/ERR1883622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4215.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4215.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883622
PRJEB18629	ERS1600930	ERX1944124	ERR1883623	Illumina MiSeq	R4216	PAIRED	Targeted-Capture	728731	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883623/ERR1883623.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883623/ERR1883623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883623/ERR1883623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4216.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4216.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883623
PRJEB18629	ERS1600931	ERX1944125	ERR1883624	Illumina MiSeq	R4217	PAIRED	Targeted-Capture	702273	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883624/ERR1883624.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883624/ERR1883624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883624/ERR1883624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4217.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4217.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883624
PRJEB18629	ERS1600932	ERX1944126	ERR1883625	Illumina MiSeq	L5714	PAIRED	Targeted-Capture	1179269	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883625/ERR1883625.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883625/ERR1883625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883625/ERR1883625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5714.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5714.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883625
PRJEB18629	ERS1600933	ERX1944127	ERR1883626	Illumina MiSeq	L5715	PAIRED	Targeted-Capture	1162172	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883626/ERR1883626.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883626/ERR1883626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883626/ERR1883626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5715.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5715.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883626
PRJEB18629	ERS1600934	ERX1944128	ERR1883627	Illumina MiSeq	R4037	PAIRED	Targeted-Capture	1630152	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883627/ERR1883627.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883627/ERR1883627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883627/ERR1883627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4037.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4037.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883627
PRJEB18629	ERS1600935	ERX1944129	ERR1883628	Illumina MiSeq	R4038	PAIRED	Targeted-Capture	1574686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883628/ERR1883628.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883628/ERR1883628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883628/ERR1883628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4038.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4038.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883628
PRJEB18629	ERS1600936	ERX1944130	ERR1883629	Illumina MiSeq	R4039	PAIRED	Targeted-Capture	1540400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883629/ERR1883629.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883629/ERR1883629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883629/ERR1883629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4039.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4039.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883629
PRJEB18629	ERS1600937	ERX1944131	ERR1883630	Illumina MiSeq	R4040	PAIRED	Targeted-Capture	1291361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883630/ERR1883630.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883630/ERR1883630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883630/ERR1883630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4040.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4040.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883630
PRJEB18629	ERS1600938	ERX1944132	ERR1883631	Illumina MiSeq	R4041	PAIRED	Targeted-Capture	1369620	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883631/ERR1883631.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883631/ERR1883631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883631/ERR1883631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4041.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4041.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883631
PRJEB18629	ERS1600939	ERX1944133	ERR1883632	Illumina MiSeq	R4042	PAIRED	Targeted-Capture	1389303	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883632/ERR1883632.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883632/ERR1883632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883632/ERR1883632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4042.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4042.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883632
PRJEB18629	ERS1600940	ERX1944134	ERR1883633	Illumina MiSeq	R4043	PAIRED	Targeted-Capture	1275266	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883633/ERR1883633.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883633/ERR1883633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883633/ERR1883633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4043.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4043.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883633
PRJEB18629	ERS1600941	ERX1944135	ERR1883634	Illumina MiSeq	R4232	PAIRED	Targeted-Capture	833580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883634/ERR1883634.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883634/ERR1883634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883634/ERR1883634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4232.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4232.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883634
PRJEB18629	ERS1600942	ERX1944136	ERR1883635	Illumina MiSeq	R4226	PAIRED	Targeted-Capture	839105	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883635/ERR1883635.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883635/ERR1883635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883635/ERR1883635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4226.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4226.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883635
PRJEB18629	ERS1600943	ERX1944137	ERR1883636	Illumina MiSeq	R3831	PAIRED	Targeted-Capture	740312	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883636/ERR1883636.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883636/ERR1883636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883636/ERR1883636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3831.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3831.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883636
PRJEB18629	ERS1600944	ERX1944138	ERR1883637	Illumina MiSeq	R4225	PAIRED	Targeted-Capture	775103	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883637/ERR1883637.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883637/ERR1883637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883637/ERR1883637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4225.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4225.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883637
PRJEB18629	ERS1600945	ERX1944139	ERR1883638	Illumina MiSeq	R3832	PAIRED	Targeted-Capture	636894	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883638/ERR1883638.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883638/ERR1883638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883638/ERR1883638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3832.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3832.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883638
PRJEB18629	ERS1600946	ERX1944140	ERR1883639	Illumina MiSeq	R3212	PAIRED	Targeted-Capture	1557876	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883639/ERR1883639.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883639/ERR1883639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883639/ERR1883639_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3212.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3212.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883639
PRJEB18629	ERS1600947	ERX1944141	ERR1883640	Illumina MiSeq	R4224	PAIRED	Targeted-Capture	861567	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883640/ERR1883640.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883640/ERR1883640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883640/ERR1883640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4224.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4224.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883640
PRJEB18629	ERS1600948	ERX1944142	ERR1883641	Illumina MiSeq	R3833	PAIRED	Targeted-Capture	593317	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883641/ERR1883641.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883641/ERR1883641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883641/ERR1883641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3833.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3833.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883641
PRJEB18629	ERS1600949	ERX1944143	ERR1883642	Illumina MiSeq	R4223	PAIRED	Targeted-Capture	794871	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883642/ERR1883642.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883642/ERR1883642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883642/ERR1883642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4223.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4223.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883642
PRJEB18629	ERS1600950	ERX1944144	ERR1883643	Illumina MiSeq	R3834	PAIRED	Targeted-Capture	931348	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883643/ERR1883643.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883643/ERR1883643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883643/ERR1883643_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3834.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3834.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883643
PRJEB18629	ERS1600951	ERX1944145	ERR1883644	Illumina MiSeq	R3835	PAIRED	Targeted-Capture	722176	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883644/ERR1883644.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883644/ERR1883644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883644/ERR1883644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3835.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3835.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883644
