"Datasets"	"Sum"
"Pseudoalteromonas sp. PEL46A"	27
"Pseudoalteromonas sp. PEL47B"	35
"Pseudoalteromonas sp. PS1M3"	76
"Pseudoalteromonas sp. R-25603"	6
"Pseudoalteromonas sp. SANK 71007"	6
"Pseudoalteromonas sp. SB-B1"	32
"Pseudoalteromonas sp. sf57"	6
"Pseudoalteromonas sp. SM0524"	6
"Pseudoalteromonas sp. SM9913"	17281
"Pseudoalteromonas sp. UST020129-030"	7
"Pseudoalteromonas sp. UST050418-015"	56
"Pseudoalteromonas sp. UST050418-027"	7
"Pseudoalteromonas sp. UST981101-004"	6
"Pseudoalteromonas spongiae"	22
"Pseudoalteromonas tetraodonis"	21
"Pseudoalteromonas translucida KMM 520"	2502
"Pseudoalteromonas tunicata"	109
"Pseudoalteromonas undina DSM 6065"	40
"Pseudobowmanella zhangzhouensis"	8
"Pseudochrobactrum saccharolyticum"	12
"Pseudoduganella sp. NI28"	7
"Pseudoduganella violaceinigra DSM 15887"	6
"Pseudogulbenkiania sp. NH8B"	21761
"Pseudohaliea rubra DSM 19751"	111
"Pseudomonas abietaniphila"	6
"Pseudomonas aeruginosa AES-1R"	69
"Pseudomonas aeruginosa B136-33"	354
"Pseudomonas aeruginosa c7447m"	9
"Pseudomonas aeruginosa DHS01"	612
"Pseudomonas aeruginosa DK1"	49
"Pseudomonas aeruginosa DK2"	33
"Pseudomonas aeruginosa DSM 50071"	355
"Pseudomonas aeruginosa M18"	57
"Pseudomonas aeruginosa MTB-1"	184
"Pseudomonas aeruginosa NCGM2.S1"	966
"Pseudomonas aeruginosa PA1"	8
"Pseudomonas aeruginosa PA14"	132
"Pseudomonas aeruginosa PA1R"	5
"Pseudomonas aeruginosa PA38182"	9208
"Pseudomonas aeruginosa PA7"	8923
"Pseudomonas aeruginosa PA96"	569
"Pseudomonas aeruginosa PAK"	12
"Pseudomonas aeruginosa PAO1H2O"	37
"Pseudomonas aeruginosa RP73"	126
"Pseudomonas aeruginosa SCV20265"	704
"Pseudomonas aeruginosa UCBPP-PA14"	343
"Pseudomonas aeruginosa VRFPA04"	106
"Pseudomonas aeruginosa YL84"	2179
"Pseudomonas alcaligenes"	10408
"Pseudomonas caeni"	10
"Pseudomonas citronellolis"	22032
"Pseudomonas flavescens"	
"Pseudomonas sp. enrichment culture clone C23O"	6
"Pseudooceanicola batsensis"	13
"Pseudopedobacter saltans DSM 12145"	3838
"Pseudophaeobacter leonis"	5
"Pseudorhodobacter antarcticus"	10
"Pseudorhodoferax soli"	12
"Pseudovibrio sp. FO-BEG1"	1729
"Psychrilyobacter atlanticus"	202
"Psychrobacter alimentarius"	35242
"Psychrobacter aquimaris"	32
"Psychrobacter arcticus 273-4"	48555
"Psychrobacter cryohalolentis K5"	83915
"Psychrobacter faecalis"	656
"Psychrobacter frigidicola"	61
"Psychrobacter immobilis"	113
"Psychrobacter jeotgali"	5
"Psychrobacter luti"	63
"Psychrobacter marincola"	13
"Psychrobacter maritimus"	446
"Psychrobacter okhotskensis"	5
"Psychrobacter pacificensis"	12
"Psychrobacter proteolyticus"	11
"Psychrobacter pulmonis"	280
"Psychrobacter sanguinis"	5
"Psychrobacter sp."	45
"Psychrobacter sp. 'Barents Sea 19'"	5
"Psychrobacter sp. 20"	11
"Psychrobacter sp. 7195"	61
"Psychrobacter sp. a381"	6
"Psychrobacter sp. B6"	66
"Psychrobacter sp. DAB_AL109bw"	9
"Psychrobacter sp. DAB_AL12"	12
"Psychrobacter sp. DAB_AL32B"	42
"Psychrobacter sp. DAB_AL43B"	464
"Psychrobacter sp. DAB_AL60"	279
"Psychrobacter sp. DAB_AL62B"	87
"Psychrobacter sp. DSM 5684"	9
"Psychrobacter sp. EP06"	55
"Psychrobacter sp. G"	71667
"Psychrobacter sp. HJ147"	19
"Psychrobacter sp. P11G5"	21872
"Psychrobacter sp. P2G3"	19018
"Psychrobacter sp. PRwf-1"	9269
"Psychrobacter sp. St1"	206
"Psychrobacter sp. T-3"	808
"Psychrobacter submarinus"	55
"Psychrobacter urativorans"	21391
"Psychroflexus gondwanensis ACAM 44"	7
"Psychroflexus torquis ATCC 700755"	2776
"Psychromonas arctica"	121
"Psychromonas ingrahamii 37"	2273
"Psychromonas sp. CNPT3"	503
"Pusillimonas sp. T7-7"	7102
"Rahnella aquatilis CIP 78.65 = ATCC 33071"	1133
"Rahnella aquatilis HX2"	107
"Rahnella sp. Y9602"	123
"Rahnella variigena"	8
"Rainforest soil clone HRS-46a"	7
"Rainforest soil clone HRS-50b"	51
"Ralstonia eutropha H16"	9301
"Ralstonia eutropha JMP134"	9582
"Ralstonia insidiosa"	48
"Ralstonia mannitolilytica"	40638
"Ralstonia pickettii 12D"	6097
"Ralstonia pickettii 12J"	6906
"Ralstonia pickettii DTP0602"	12755
"Ralstonia solanacearum CFBP2957"	4850
"Ralstonia solanacearum CMR15"	4864
"Ralstonia solanacearum FQY_4"	2355
"Ralstonia solanacearum GMI1000"	1575
"Ralstonia solanacearum K60-1"	6
"Ralstonia solanacearum MolK2"	6
"Ralstonia solanacearum Po82"	4873
"Ralstonia solanacearum PSI07"	1280
"Ralstonia sp. 1-6"	25
"Ralstonia sp. AET-6-14"	5
"Ralstonia sp. AJ110405"	6
"Ralstonia sp. BT-17"	7
"Ralstonia sp. E2"	229
"Ralstonia sp. EDS1"	15
"Ralstonia sp. EDS2"	6
"Ralstonia sp. NT80"	29
"Ralstonia sp. PAMU-2.15"	7
"Ralstonia sp. T6"	5
"Ralstonia syzygii R24"	1905
"Ramlibacter tataouinensis TTB310"	57083
"Raoultella electrica"	5
"Raoultella ornithinolytica B6"	1961
"Raoultella planticola ATCC 33531"	55
"Raoultella terrigena"	35
"Reichenowia parasiticae"	32
"Rheinheimera sp. F8"	1420
"Rhizobacter fulvus"	5
"Rhizobacter gummiphilus"	19
"Rhizobium arachis"	8
"Rhizobium borbori"	92
"Rhizobium cauense"	94
"Rhizobium endolithicum"	5
"Rhizobium endophyticum CCGE 2052"	63
"Rhizobium etli bv. mimosae str. IE4771"	1337
"Rhizobium etli bv. mimosae str. Mim1"	952
"Rhizobium etli bv. phaseoli str. IE4803"	1291
"Rhizobium etli CFN 42"	3034
"Rhizobium etli CIAT 652"	2963
"Rhizobium fabae"	170
"Rhizobium favelukesii"	6210
"Rhizobium flavum"	99
"Rhizobium gallicum bv. gallicum R602"	4200
"Rhizobium gei"	6
"Rhizobium genosp. TUXTLAS-26"	32
"Rhizobium giardinii"	59
"Rhizobium grahamii"	110
"Rhizobium hainanense"	7
"Rhizobium helanshanense"	12
"Rhizobium indigoferae"	15
"Rhizobium jaguaris"	5
"Rhizobium laguerreae"	525
"Rhizobium leguminosarum bv. phaseoli"	5
"Rhizobium leguminosarum bv. trifolii CB782"	3325
"Rhizobium leguminosarum bv. trifolii TA1"	185
"Rhizobium leguminosarum bv. trifolii WSM1325"	3150
"Rhizobium leguminosarum bv. trifolii WSM1689"	2966
"Rhizobium leguminosarum bv. trifolii WSM2304"	8621
"Rhizobium leguminosarum bv. viciae 248"	59
"Rhizobium leguminosarum bv. viciae 3841"	5163
"Rhizobium leucaenae USDA 9039"	5
"Rhizobium loessense"	40
"Rhizobium lusitanum"	5
"Rhizobium marinum"	296
"Rhizobium mesoamericanum CCGE 501"	23
"Rhizobium mesosinicum"	5
"Rhizobium miluonense"	44
"Rhizobium multihospitium"	99
"Rhizobium naphthalenivorans"	17
"Rhizobium nepotum"	6
"Rhizobium oryzae"	29
"Rhizobium oryzicola"	6
"Rhizobium petrolearium"	18
"Rhizobium phaseoli"	236
"Rhizobium pisi"	63
"Rhizobium pusense"	65
"Rhizobium skierniewicense Ch11"	5
"Rhizobium smilacinae"	5
"Rhizobium sp."	51
"Rhizobium sp. 11b"	69
"Rhizobium sp. 27118"	5
"Rhizobium sp. 29953"	104
"Rhizobium sp. AKG-2007"	14
"Rhizobium sp. B134"	28
"Rhizobium sp. CCBAU 45133"	5
"Rhizobium sp. CCBAU 53004-5"	6
"Rhizobium sp. CCBAU 75186"	5
"Rhizobium sp. CCGE 510"	78
"Rhizobium sp. CFN ESH10"	17
"Rhizobium sp. CTG-419"	9
"Rhizobium sp. FB1202"	19
"Rhizobium sp. FB1206"	60
"Rhizobium sp. hp0026"	8
"Rhizobium sp. IRBG74"	1329
"Rhizobium sp. ITTG S11"	23
"Rhizobium sp. J3-51"	19
"Rhizobium sp. KG33"	98
"Rhizobium sp. LGMB58"	21
"Rhizobium sp. N33"	5
"Rhizobium sp. NK-4"	11
"Rhizobium sp. NT-26"	4201
"Rhizobium sp. P1.47"	12
"Rhizobium sp. P146"	11
"Rhizobium sp. PEPSM18"	6
"Rhizobium sp. Pt2-A15"	35
"Rhizobium sp. QR1"	11
"Rhizobium sp. RRC5"	6
"Rhizobium sp. smk1"	5
"Rhizobium sp. TUTAHSA114"	53
"Rhizobium sp. TUTPVSA125"	5
"Rhizobium sp. TUTPVSA24"	5
"Rhizobium sp. TUTPVSA42"	5
"Rhizobium sp. USDA 4007"	18
"Rhizobium sullae"	38
"Rhizobium tarimense"	5
"Rhizobium tibeticum"	5
"Rhizobium tropici CIAT 899"	4089
"Rhizobium undicola"	23
"Rhizobium vallis"	100
"Rhizobium vignae"	13
"Rhizobium yantingense"	5
"Rhodobacter aestuarii"	23
"Rhodobacter blasticus DSM 2131"	13
"Rhodobacter capsulatus SB 1003"	4222
"Rhodobacter gluconicum"	6
"Rhodobacter johrii"	144
"Rhodobacter maris"	24
"Rhodobacter ovatus"	50
"Rhodobacter sp. JA193"	5
"Rhodobacter sp. JA222"	13
"Rhodobacter sp. JA225"	230
"Rhodobacter sp. SL24"	13
"Rhodobacter sphaeroides 2.4.1"	1857
"Rhodobacter sphaeroides ATCC 17025"	5370
"Rhodobacter sphaeroides ATCC 17029"	1277
"Rhodobacter sphaeroides f. sp. denitrificans"	35
"Rhodobacter sphaeroides KD131"	1596
"Rhodobacter veldkampii DSM 11550"	43
"Rhodobacteraceae bacterium 198"	6
"Rhodobium gokarnense"	105
"Rhodobium orientis"	61
"Rhodocyclus purpureus"	119
"Rhodocyclus tenuis DSM 109"	34
"Rhodoferax fermentans"	50
"Rhodoferax ferrireducens T118"	21840
"Rhodomicrobium vannielii ATCC 17100"	3540
"Rhodopila globiformis"	6
"Rhodoplanes elegans"	5
"Rhodoplanes roseus"	12
"Rhodoplanes sp. Z2-YC6860"	99907
"Rhodopseudomonas julia"	13
"Rhodopseudomonas palustris BisA53"	16493
"Rhodopseudomonas palustris BisB18"	18371
"Rhodopseudomonas palustris BisB5"	12912
"Rhodopseudomonas palustris CGA009"	6913
"Rhodopseudomonas palustris DX-1"	11451
"Rhodopseudomonas palustris HaA2"	16532
"Rhodopseudomonas palustris TIE-1"	4184
"Rhodopseudomonas pentothenatexigens"	34
"Rhodopseudomonas rhenobacensis"	76
"Rhodopseudomonas sp."	17
"Rhodopseudomonas sp. No.7"	26
"Rhodopseudomonas thermotolerans"	23
"Rhodospirillum centenum SW"	8011
"Rhodospirillum rubrum ATCC 11170"	7058
"Rhodospirillum rubrum F11"	11
"Rhodospirillum sp. SL38"	52
"Rhodothalassium salexigens DSM 2132"	45
"Rhodothalassium sp. JA325"	12
"Rhodothermus marinus DSM 4252"	2591
"Rhodothermus marinus SG0.5JP17-172"	2904
"Rhodovulum sp. CP-10"	36
"Rhodovulum sp. JA 180"	12
"Rhodovulum sulfidophilum DSM 1374"	15
"Rhodovulum visakhapatnamense"	13
"Rickettsia africae ESF-5"	15
"Rickettsia akari str. Hartford"	286
"Rickettsia amblyommatis str. GAT-30V"	40
"Rickettsia australis str. Cutlack"	77
"Rickettsia bellii OSU 85-389"	41
"Rickettsia bellii RML369-C"	47
"Rickettsia canadensis str. McKiel"	878
"Rickettsia conorii subsp. conorii"	6
"Rickettsia endosymbiont of Chrysotimus molliculus"	22
"Rickettsia endosymbiont of Chrysotus suavis"	5
"Rickettsia endosymbiont of Crassostrea ariakensis"	21
"Rickettsia endosymbiont of Ixodes pacificus"	34
"Rickettsia endosymbiont of Megastigmus amicorum"	28
"Rickettsia endosymbiont of Neurigona lineata"	6
"Rickettsia endosymbiont of Penicillidia leptothrinax"	23
"Rickettsia endosymbiont of Troxochrus scabriculus"	5
"Rickettsia felis URRWXCal2"	2125
"Rickettsia helvetica"	11
"Rickettsia honei"	19
"Rickettsia hoogstraalii"	76
"Rickettsia japonica"	15
"Rickettsia massiliae MTU5"	287
"Rickettsia monacensis"	62
"Rickettsia montanensis str. OSU 85-930"	11
"Rickettsia parkeri"	14
"Rickettsia peacockii str. Rustic"	77
"Rickettsia prowazekii str. Madrid E"	380
"Rickettsia raoultii"	111
"Rickettsia rhipicephali"	9
"Rickettsia rickettsii str. Iowa"	109
"Rickettsia slovaca 13-B"	160
"Rickettsia sp. 1(2010)"	15
"Rickettsia typhi str. Wilmington"	95
"Rickettsiales bacterium Ac37b"	411
"Rickettsiella costelytrae"	9
"Rickettsiella endosymbiont of Ixodes ricinus"	6
"Rickettsiella endosymbiont of Ornithodoros normandi"	207
"Rickettsiella melolonthae"	179
"Rickettsiella tipulae"	70
"Riemerella anatipestifer ATCC 11845 = DSM 15868"	854
"Riemerella anatipestifer CH3"	267
"Riemerella anatipestifer RA-CH-1"	237
"Riemerella anatipestifer RA-CH-2"	31
"Riemerella anatipestifer RA-YM"	54
"Riemerella anatipestifer Yb2"	7
"Riemerella columbina DSM 16469"	32
"Riemerella columbipharyngis"	5
"Riemerella sp. IPDH 180/88"	13
"Rikenella microfusus"	5
"Robiginitalea biformata HTCC2501"	3579
"Rodentibacter pneumotropicus"	365
"Roseateles aquatilis"	23
"Roseateles depolymerans"	30019
"Roseibacterium elongatum DSM 19469"	4715
"Roseisalinus antarcticus"	6
"Roseivivax halodurans"	7
"Roseivivax halotolerans"	38
"Rosenbergiella australoborealis"	20
"Rosenbergiella nectarea"	17
"Roseobacter denitrificans OCh 114"	4635
"Roseobacter litoralis Och 149"	3659
"Roseobacter sp. B11"	10
"Roseobacter sp. BS90"	5
"Roseobacter sp. KT0202a"	678
"Roseobacter sp. KT0917"	210
"Roseobacter sp. KT1117"	45
"Roseobacter sp. WHOI JT-01"	5
"Roseovarius nubinhibens"	46
"Roseovarius tolerans"	106
"Rubrivivax gelatinosus IL144"	40108
"Rubrivivax gelatinosus S1"	601
"Ruegeria arenilitoris"	6
"Ruegeria pomeroyi DSS-3"	7423
"Ruegeria sp. PR1b"	1853
"Ruegeria sp. TM1040"	4697
"Rufibacter sp. DG15C"	2395
"Rufibacter sp. DG31D"	3140
"Rufibacter tibetensis"	2369
"Rugosibacter aromaticivorans"	49669
"rumen bacterium enrichment culture clone RDX5-13"	5
"rumen bacterium enrichment culture clone RDX5AD6"	5
"Ruminobacter amylophilus"	858
"Runella slithyformis DSM 19594"	2715
"Saccharicrinis fermentans"	20
"Saccharophagus degradans 2-40"	1681
"Salegentibacter salegens"	12
"Salicola marasensis"	913
"Salinibacter ruber DSM 13855"	3729
"Salinibacter ruber M8"	924
"Salinicola acroporae"	39
"Salinicola halophilus"	122
"Salinicola peritrichatus"	51
"Salinicola rhizosphaerae"	23
"Salinicola salarius"	395
"Salinicola socius"	50
"Salinicola zeshunii"	19
"Salinimonas"	10
"Salinivirga cyanobacteriivorans"	3121
"Salipiger mucosus DSM 16094"	6
"Salmonella bongori N268-08"	76
"Salmonella bongori NCTC 12419"	122
"Salmonella bongori serovar 48:z41:-- str. RKS3044"	100
"Salmonella bongori serovar 66:z41:-"	5
"Salmonella enterica subsp. arizonae serovar 62:z36:- str. RKS2983"	120
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-"	93
"Salmonella enterica subsp. diarizonae"	449
"Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640"	10
"Salmonella enterica subsp. enterica serovar Abony str. 0014"	28
"Salmonella enterica subsp. enterica serovar Agona"	37
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1727"	11
"Salmonella enterica subsp. enterica serovar Anatum var. 15+"	5
"Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189"	69
"Salmonella enterica subsp. enterica serovar Bovismorbificans str. 3114"	93
"Salmonella enterica subsp. enterica serovar Cerro str. CFSAN001588"	11
"Salmonella enterica subsp. enterica serovar Chester"	5
"Salmonella enterica subsp. enterica serovar Choleraesuis str. ATCC 10708"	76
"Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050"	561
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111174"	30
"Salmonella enterica subsp. enterica serovar Gallinarum"	40
"Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. CDC1983-67"	5
"Salmonella enterica subsp. enterica serovar Hadar"	21
"Salmonella enterica subsp. enterica serovar Heidelberg"	30
"Salmonella enterica subsp. enterica serovar Infantis"	20
"Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992"	6
"Salmonella enterica subsp. enterica serovar Livingstone"	9
"Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20"	22
"Salmonella enterica subsp. enterica serovar Muenster"	5
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22425"	8
"Salmonella enterica subsp. enterica serovar Newport str. CVM N18486"	11
"Salmonella enterica subsp. enterica serovar Newport str. SL254"	13
"Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1927"	8
"Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1"	17
"Salmonella enterica subsp. enterica serovar Ouakam"	6
"Salmonella enterica subsp. enterica serovar Paratyphi A"	73
"Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7"	1494
"Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594"	10
"Salmonella enterica subsp. enterica serovar Pullorum"	186
"Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633"	5
"Salmonella enterica subsp. enterica serovar Senftenberg"	23
"Salmonella enterica subsp. enterica serovar Sloterdijk str. ATCC 15791"	5
"Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19"	5
"Salmonella enterica subsp. enterica serovar Thompson str. ATCC 8391"	21
"Salmonella enterica subsp. enterica serovar Typhi str. 404ty"	22
"Salmonella enterica subsp. enterica serovar Typhi str. CT18"	102
"Salmonella enterica subsp. enterica serovar Typhimurium str. DT104"	27
"Salmonella enterica subsp. enterica serovar Typhimurium str. U288"	28
"Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1896"	27
"Salmonella enterica subsp. enterica serovar Weltevreden"	76
"Salmonella enterica subsp. enterica serovar Westhampton"	20
"Salmonella enterica subsp. enterica serovar Worthington"	6
"Salmonella enterica subsp. salamae serovar Sofia"	7
"Salmonella sp. 14"	6
"Salmonella sp. ZKC20"	5
"Sandaracinus amylolyticus"	26268
"Sandarakinorhabdus limnophila"	91
"Saprospira grandis str. Lewin"	1635
"Sebaldella termitidis ATCC 33386"	6565
"secondary endosymbiont of Amonostherium lichtensioides"	62
"secondary endosymbiont of Antonina pretiosa"	9
"secondary endosymbiont of Aphalaroida inermis"	12
"secondary endosymbiont of Bemisia tabaci"	8
"secondary endosymbiont of Cacopsylla myrthi"	6
"secondary endosymbiont of Chaitophorus leucomelas"	9
"secondary endosymbiont of Ctenarytaina eucalypti"	275
"secondary endosymbiont of Curculio sikkimensis"	16
"secondary endosymbiont of Erium globosum"	8
"secondary endosymbiont of Heteropsylla cubana"	180
"secondary endosymbiont of Macrosiphum rosae"	10
"secondary endosymbiont of Melanococcus albizziae"	5
"secondary endosymbiont of Paracoccus nothofagicola"	5
"secondary symbiont of Acyrthosiphon pisum"	6
"Sediminicola sp. TAK34"	9
"Sediminicola sp. YIK13"	2835
"Seminibacterium arietis"	10
"Serratia entomophila"	19
"Serratia fonticola"	3020
"Serratia liquefaciens ATCC 27592"	1404
"Serratia marcescens FGI94"	1441
"Serratia marcescens SM39"	2734
"Serratia marcescens subsp. marcescens Db11"	16179
"Serratia marcescens WW4"	857
"Serratia odorifera"	52
"Serratia plymuthica 4Rx13"	430
"Serratia plymuthica S13"	475
"Serratia proteamaculans 568"	2728
"Serratia rubidaea"	1504
"Serratia sp. 32ANAIII"	11
"Serratia sp. A3"	5
"Serratia sp. FS14"	476
"Serratia sp. SCBI"	750
"Serratia symbiotica SCt-VLC"	638
"Serratia symbiotica str. 'Cinara cedri'"	292
"Shewanella algae"	24
"Shewanella amazonensis SB2B"	3912
"Shewanella baltica BA175"	369
"Shewanella baltica OS155"	95
"Shewanella baltica OS185"	705
"Shewanella baltica OS195"	21
"Shewanella baltica OS223"	601
"Shewanella basaltis"	5
"Shewanella denitrificans OS217"	1108
"Shewanella fidelis"	6
"Shewanella frigidimarina NCIMB 400"	46895
"Shewanella halifaxensis HAW-EB4"	756
"Shewanella haliotis"	175
"Shewanella japonica"	6
"Shewanella kaireitica"	12
"Shewanella livingstonensis"	591
"Shewanella loihica PV-4"	2157
"Shewanella oneidensis MR-1"	646
"Shewanella pealeana ATCC 700345"	559
"Shewanella piezotolerans WP3"	705
"Shewanella putrefaciens 200"	11342
"Shewanella putrefaciens CN-32"	1180
"Shewanella sediminis HAW-EB3"	10251
"Shewanella sp. 135Z-7"	5
"Shewanella sp. ANA-3"	4502
"Shewanella sp. AS-11"	138
"Shewanella sp. BSw10008"	18
"Shewanella sp. BSw20248"	19
"Shewanella sp. GA-22"	17
"Shewanella sp. Ke75"	45
"Shewanella sp. KJW23"	19
"Shewanella sp. MR-4"	527
"Shewanella sp. MR-7"	4504
"Shewanella sp. NonCcarNonPione14"	12
"Shewanella sp. PA-43"	7
"Shewanella sp. SC2A"	5
"Shewanella sp. SIB1"	20
"Shewanella sp. W3-18-1"	1686
"Shewanella vesiculosa"	13
"Shewanella violacea DSS12"	650
"Shewanella woodyi ATCC 51908"	1041
"Shigella boydii CDC 3083-94"	2540
"Shigella boydii Sb227"	176
"Shigella dysenteriae 1"	35
"Shigella dysenteriae 1617"	34
"Shigella dysenteriae Sd197"	41
"Shigella flexneri 1a"	45
"Shigella flexneri 2002017"	113
"Shigella flexneri 2a str. 2457T"	7
"Shigella flexneri 2a str. 301"	5
"Shigella flexneri 4c"	6
"Shigella flexneri 5 str. 8401"	761
"Shigella flexneri 5a str. M90T"	21
"Shigella flexneri Shi06HN006"	8
"Shigella sonnei 53G"	152
"Shigella sonnei Ss046"	90
"Shigella sp. MO17"	9
"Shimwellia blattae DSM 4481 = NBRC 105725"	1373
"Shinella sp. A2-41X"	13
"Shinella zoogloeoides"	46
"Siansivirga zeaxanthinifaciens CC-SAMT-1"	16117
"Siccationidurans antarcticus"	17
"Siccibacter colletis"	5
"Sideroxydans lithotrophicus ES-1"	11531
"Silicibacter lacuscaerulensis ITI-1157"	5
"Simiduia agarivorans SA1 = DSM 21679"	4145
"Simonsiella muelleri"	6
"Sinobacterium caligoides"	7
"Sinobacterium norvegicum"	12
"Sinorhizobium americanum"	74
"Sinorhizobium arboris LMG 14919"	80
"Sinorhizobium fredii GR64"	14
"Sinorhizobium fredii HH103"	3977
"Sinorhizobium fredii NGR234"	4681
"Sinorhizobium fredii USDA 257"	4448
"Sinorhizobium kostiense"	202
"Sinorhizobium medicae WSM419"	4625
"Sinorhizobium meliloti AK83"	180
"Sinorhizobium meliloti BL225C"	104
"Sinorhizobium meliloti GR4"	279
"Sinorhizobium meliloti Rm41"	405
"Sinorhizobium meliloti SM11"	198
"Sinorhizobium saheli"	104
"Sinorhizobium sp. amp52"	10
"Sinorhizobium sp. CCBAU 05583"	28
"Sinorhizobium sp. CCBAU 05672"	14
"Sinorhizobium sp. CCBAU 65901"	81
"Sinorhizobium sp. CCBAU 65906"	6
"Sinorhizobium sp. CCBAU 65917"	33
"Sinorhizobium sp. CZ2_3_nodule"	98
"Sinorhizobium sp. GVPV32"	5
"Sinorhizobium sp. GVPV35"	9
"Sinorhizobium sp. hpa0017"	15
"Sinorhizobium sp. JZ3_1_nodule"	63
"Sinorhizobium sp. Le39"	18
"Sinorhizobium sp. LM21"	8
"Sinorhizobium sp. M14"	102
"Sinorhizobium terangae"	52
"Sneathia amnii"	13179
"Sneathiella glossodoripedis"	5
"Snodgrassella alvi wkB2"	6585
"Sodalis glossinidius str. 'morsitans'"	2334
"Sodalis praecaptivus"	1388
"Sodalis-like endosymbiont of Aphrophora quadrinotata"	22
"Sodalis-like endosymbiont of Philaenus maghresignus"	10
"soil bacterium enrichment culture clone KUNVGMPRP3"	16
"Solimonas aquatica"	58
"Solimonas soli DSM 21787"	12
"Solimonas variicoloris DSM 15731"	10
"Solitalea canadensis DSM 3403"	3483
"Sorangium cellulosum So ce56"	17098
"Sorangium cellulosum So0157-2"	19271
"Sphaerotilus hippei"	9
"Sphaerotilus montanus"	64
"Sphaerotilus natans subsp. natans DSM 6575"	5
"Sphaerotilus natans subsp. sulfidivorans"	8
"Sphingobacterium mizutaii"	25
"Sphingobacterium multivorum"	15
"Sphingobacterium sp. 21"	3043
"Sphingobacterium sp. 238C5"	7
"Sphingobacterium sp. HP455"	5
"Sphingobacterium sp. ML3W"	7900
"Sphingobacterium sp. PM2-P1-29"	4539
"Sphingobacterium sp. TN19"	6
"Sphingobacterium sp. V-54"	26
"Sphingobacterium thalpophilum"	61
"Sphingobium amiense"	38
"Sphingobium baderi"	4266
"Sphingobium boeckii"	53
"Sphingobium chlorophenolicum L-1"	2886
"Sphingobium chungbukense"	97
"Sphingobium cloacae"	35
"Sphingobium fuliginis ATCC 27551"	198
"Sphingobium japonicum UT26S"	3572
"Sphingobium limneticum"	6
"Sphingobium sp. 005"	16
"Sphingobium sp. 031"	77
"Sphingobium sp. 278"	64
"Sphingobium sp. 330"	7
"Sphingobium sp. 353"	53
"Sphingobium sp. C1"	20
"Sphingobium sp. MI1205"	3115
"Sphingobium sp. SM42"	43
"Sphingobium sp. SYK-6"	4770
"Sphingobium sp. TKS"	4634
"Sphingobium sp. YBL2"	4769
"Sphingobium wenxiniae"	313
"Sphingobium xenophagum QYY"	13
"Sphingobium yanoikuyae"	98
"Sphingomonadaceae bacterium ACEMC 2F-8"	7
"Sphingomonas adhaesiva"	44
"Sphingomonas aquatilis"	14
"Sphingomonas asaccharolytica"	49
"Sphingomonas dokdonensis"	5
"Sphingomonas echinoides"	6
"Sphingomonas elodea ATCC 31461"	76
"Sphingomonas hengshuiensis"	7417
"Sphingomonas jaspsi"	84
"Sphingomonas leidyi"	76
"Sphingomonas melonis TY"	5
"Sphingomonas molluscorum"	17
"Sphingomonas paucimobilis"	229
"Sphingomonas sanguinis"	29
"Sphingomonas sanxanigenens DSM 19645 = NX02"	10431
"Sphingomonas sp."	31
"Sphingomonas sp. 002"	34
"Sphingomonas sp. 037"	17
"Sphingomonas sp. 056"	38
"Sphingomonas sp. 118"	5
"Sphingomonas sp. 133"	382
"Sphingomonas sp. 158"	26
"Sphingomonas sp. 197"	10
"Sphingomonas sp. 201"	50
"Sphingomonas sp. 214"	145
"Sphingomonas sp. 217"	6
"Sphingomonas sp. 244"	49
"Sphingomonas sp. 247"	5
"Sphingomonas sp. 277"	42
"Sphingomonas sp. 2MPII"	70
"Sphingomonas sp. 314"	74
"Sphingomonas sp. 352"	13
"Sphingomonas sp. 397"	44
"Sphingomonas sp. 405"	12
"Sphingomonas sp. 429"	111
"Sphingomonas sp. 435"	10
"Sphingomonas sp. 452"	7
"Sphingomonas sp. 487"	5
"Sphingomonas sp. 562"	6
"Sphingomonas sp. 564"	63
"Sphingomonas sp. 575"	19
"Sphingomonas sp. 664"	51
"Sphingomonas sp. 679"	26
"Sphingomonas sp. A1"	79
"Sphingomonas sp. A2-49"	6
"Sphingomonas sp. A8AN3"	20
"Sphingomonas sp. ATCC 53159"	5
"Sphingomonas sp. ED8"	9
"Sphingomonas sp. ERG5"	362
